"","notact_004","notact_007","notact_008","notact_009","notact_010","notact_011","notact_014","act12h_018","act12h_019","act12h_020","act24h_023","act48h_026","act48h_027","act72h_028","act72h_029","act72h_030","act96h_032","act96h_034"
"ANXA2",531.881164213911,188.870391441434,698.776799908602,1046.30035312424,576.836376225194,1188.90654616976,498.928279861219,689.103834129768,546.555417118629,863.899819539643,260.460575925455,607.78486729399,453.437000569988,1661.7506131353,1301.82458047011,1190.76427440127,4244.61515936332,1992.79523230954
"ANXA3",0,0,0,0.707901090424481,0,1.16555682408415,1.78668448912613,3.29847065537572,0,0,0,14.3378085118584,3.69093362983544,4.24507683820829,3.60894369501273,3.67287173669963,3.898745370659,3.05978064585327
"ANXA4",49.0236963279276,68.7609676578549,74.5652040179419,112.546942113649,139.490445886785,111.153775671947,55.2191367828815,81.4928141106473,124.957892914822,139.664146011193,36.224653944716,94.7300222976245,37.4141851762199,165.097138339142,176.789876761229,166.497472472069,205.902932198033,201.51106243398
"ANXA5",1096.51646218966,1173.97977048531,503.455792960409,419.715684174161,369.087556732627,564.341389362588,484.191675535261,1266.7152736976,808.903037825738,1011.95925635109,791.567980776048,446.128249873163,776.072405821683,1060.9521810099,756.408155419702,698.130402461991,1227.35079437683,1334.03201047243
"ANXA6",5834.69547485717,6126.05612052196,10336.8739750985,5519.57501665641,7768.31675807601,7162.82399018455,4651.59582529138,7284.17432622376,6173.47398603266,11162.5145092349,5723.17889253702,2639.63990087279,2544.62582856404,3692.2023328293,4800.38492483509,3270.6692489115,4950.93983832283,5386.93197093381
"ANXA7",851.702994239112,701.917121016667,1128.16006063171,809.136644111452,1263.46078529923,1226.53189392165,1254.67855915794,987.573972475251,716.696570608172,869.785122243031,661.568403717164,567.502027688138,642.305441817793,672.433714804349,702.086116503434,605.47826490849,762.256586399889,600.965227707447
"AP1AR",0,0,0,0,0,0,0,0,1.77142286623623,0,0,0,0,1.42732783503821,5.8309338295808,1.33484808705113,1.32688856086524,0
"AP1B1",14.6663485916712,21.4585950723596,15.88464938727,46.1972507409789,25.6966990277338,15.8302393740527,0.841892261557262,14.4327504134855,7.78245392971797,7.73848248844063,7.90973282348278,0,10.6099104180186,7.70723350034972,0,0,12.3134420267551,10.1163183337014
"AP1G1",157.173339463662,160.099830063551,118.729370961969,137.895772267314,78.2001507555643,72.972981710458,137.410116316708,171.428578571258,184.096307635037,245.356565006465,218.532355535434,271.196284652976,266.249804388894,221.054038077157,212.843697023456,222.883773163025,305.686502532867,249.928040329458
"AP1G2",41.8585815533329,48.9248761720226,54.7150218355032,34.4744081735514,10.6009710967687,14.3230028705085,47.9212808378277,30.7157839886292,25.8746185285516,38.2307829068083,23.3582853365897,54.1546618313244,44.1689027913247,56.30138055658,66.2355196423842,55.1267700388729,73.4201287272087,56.6010440131431
