"","[example-data] act_vs_notact","[example-data] act12h_vs_notact","[example-data] act24h_vs_notact","[example-data] act48h_vs_notact","[example-data] act72h_vs_notact","[example-data] act96h_vs_notact","[GSE157905-lenvatinib-bc] treatment:Combi_vs_CT","[GSE157905-lenvatinib-bc] treatment:Gefitinib_vs_CT","[GSE157905-lenvatinib-bc] treatment:Lenvatinib_vs_CT","[GSE88808-prostate] old_normal_vs_young_normal","[GSE88808-prostate] old_tumor_vs_old_normal","[GSE88808-prostate] old_tumor_vs_young_tumor","[GSE88808-prostate] young_tumor_vs_young_normal"
"ZSCAN16",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0852680706897878,0.539004855684663,-0.225572476746863,0.679309261741738
"ANKRD35",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.026074313767945,-0.796389912484451,-0.0207385700231007,-0.749577028693406
"ZFP91",-1.1251127711222,-0.845755067924234,-0.677344711210757,-1.16468485726774,-1.30478196978163,-1.49649546300591,NA,NA,NA,NA,NA,NA,NA
"ACTR2",-0.656156162104141,-0.462564394341022,-0.54690300561546,-1.23537730544614,-0.660597945496106,-0.406670248987661,NA,NA,NA,NA,NA,NA,NA
"LGR5",NA,NA,NA,NA,NA,NA,-0.549737901673807,-0.388081316117966,0.244591727535771,-0.0334651805700652,-0.276022757051876,-0.187685417640916,-0.121802519981025
"GFRA2",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00941401639347994,-0.447886090152508,0.279968040580484,-0.718440114339512
"ADAMTSL2",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.636078956981913,-0.456791881235186,0.0360672242101625,0.143219851536565
"EEF1A1",0.681539343367835,0.221582389134466,0.899107050033877,1.12348713120551,0.730356378873737,0.679715777549821,NA,NA,NA,NA,NA,NA,NA
"USP19",-0.181658191141504,-0.306610662925374,0.312133418413372,0.120128037522079,-0.2600018229452,-0.500572195128301,NA,NA,NA,NA,NA,NA,NA
"E2F2",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.683935683214702,0.279846664829006,-0.0279520297804288,0.991734377824137
"ADAM2",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0209276156200845,0.585780768301624,-0.174366431184495,0.739219583866034
"PSMA6",0.041846212059835,0.00482489373252477,0.275639509433513,-0.205851163128068,0.0897016993373001,0.132351073246854,NA,NA,NA,-0.138210091779931,0.359124883264991,-0.0145303705492298,0.235445162034289
"FAM216A",NA,NA,NA,NA,NA,NA,-1.18960072792877,-0.795263512682876,-0.0169479230839663,NA,NA,NA,NA
"GPR172A",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.169780843845629,0.58921247507123,-0.185571339988233,0.605002971213834
"SEC62",0.690458230800034,0.904346631156173,1.2101204547251,0.71033335335687,0.407476435303038,0.45089883595543,NA,NA,NA,NA,NA,NA,NA
"TSFM",0.462586156732739,0.030556584610528,0.436716243793652,0.865974801491847,0.727950051581958,0.30694712741469,NA,NA,NA,NA,NA,NA,NA
"WASF3",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.188223809989422,0.648362755332806,-0.122941156213593,0.583080101556977
"CCDC74A",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.322107946768007,-0.523612209873949,0.114849716900098,-0.960569873542055
"MERTK",NA,NA,NA,NA,NA,NA,0.566303500724592,0.438871667331482,-0.0286594027286829,-0.101123858026541,0.457002461946534,0.152288685592752,0.203589918327242
"SSU72",0.0847293298483938,0.16690176730894,0.276548015770792,-0.144165749049902,0.206004906775225,-0.086202812529743,NA,NA,NA,-0.275025531933593,0.117361982834651,-0.136429330910426,-0.0212342181885153
"MST1",NA,NA,NA,NA,NA,NA,1.48604076530443,0.908530957649239,0.295656772769824,NA,NA,NA,NA
