 	CD8+ T cells	CD4+ T cells	CD4Tcell-Th1-restimulated12hour	CD4Tcell-Th1-restimulated48hour	CD4Tcell-Th2-restimulated12hour	CD4Tcell-Th2-restimulated48hour	MemoryTcell-RO-unactivated	MemoryTcell-RO-activated	NKcell-control	NKcell-IL2stimulated	NKcell-IL15stimulated	Bcell-naive	Bcell-Memory_IgG_IgA	Bcell-Memory_IgM	PlasmaCell-FromPBMC	PlasmaCell-FromBoneMarrow	Monocyte-Day0	Monocyte-Day1	Monocyte-Day7	DendriticCell-Control	DendriticCell-LPSstimulated	Neutrophil-Resting
L2HGDH	6.810063871	8.024753684	8.850355637	8.872039698	8.662694482	8.02000578	5.148961213	8.804105201	6.095618553	7.411666901	6.8831422	5.96650298	5.948466523	5.708835586	7.433254372	5.79766801	5.340594906	4.969749128	5.950285655	6.105150742	8.48022405	5.699151816
AIFM2	6.214095656	5.443042989	8.644045531	9.153725972	7.732318953	7.785528756	6.452996201	8.353504146	6.568978335	6.944696836	8.088702566	5.1129622	5.19435304	5.152710742	8.152139467	5.563646269	5.62169049	9.786842861	9.965807969	9.077929693	10.74873474	5.186682785
MAFG	4.854082945	5.343727596	5.331561914	5.444678109	5.387132735	4.593034996	4.504556836	5.026932817	4.721140213	5.121678557	4.738506651	4.799694224	5.168451498	5.153318952	5.541618086	5.696251215	4.84713671	8.311692695	5.688315593	5.518120693	5.892289823	5.017334024
PDCD2L	9.178984723	8.957155259	10.57833023	9.960879449	10.17215828	8.982388048	8.879392307	9.988676167	8.496061825	9.342577856	9.294147814	8.663522017	8.910728915	8.85045722	10.10010425	7.528999048	7.367906123	7.81272657	8.165979752	7.407999904	8.09757744	7.701499155
C19orf48	8.127257959	9.005571219	10.55385965	10.31686566	10.04673751	9.372707653	8.058518539	10.84802821	5.995083086	8.256035036	8.157011699	5.965085027	6.338994819	7.091252889	9.184724125	7.633271354	6.333209031	5.761005964	6.698956958	6.232414531	5.421576775	5.487672848
AGPAT9	6.391196322	5.549576766	10.49162716	9.513274257	10.43176014	9.645976595	8.614529496	8.340176502	5.837552249	7.316600134	8.364981634	5.598365205	5.085849516	6.221451787	4.355580147	5.009671885	10.87230108	11.99407292	11.41652654	12.7100164	11.25310507	12.22429332
RAB11FIP4	9.597698764	9.164793819	7.116749419	7.31906692	8.203246843	8.331137895	9.118387415	7.886692394	10.09623714	8.105019053	8.032288223	8.875219253	8.141510705	8.325610154	6.974016813	5.477709704	7.928206955	6.12203246	7.106709492	8.131443723	7.440480245	9.571573291
MGC12916	7.728954469	8.21411347	9.779868705	10.35386432	9.00440682	9.214963413	8.304637284	8.885998301	8.720554657	8.308899615	8.102747352	7.209880819	6.250791077	7.381724628	6.105426657	5.479812593	6.611613808	9.073487105	6.598179079	6.036411752	6.746525517	7.451077553
RTN4IP1	6.353517378	4.454461069	7.95236269	9.00667765	7.96075302	8.603017985	6.09619859	6.85406216	5.911841356	5.42553987	5.142113867	5.849820591	5.59737474	5.477936316	8.082069185	4.911332062	4.95886587	4.679203263	7.447751368	6.583280882	4.973113762	4.61297757
C3orf26	9.541190533	9.412035573	11.22389612	10.8173677	11.11657724	10.25816634	9.60661002	11.59630237	8.911624179	10.04337896	9.902823531	8.505627272	8.62164898	8.656748405	10.0511618	9.360533278	7.803778642	7.53029318	8.935701601	8.467942411	7.954396024	8.10983901
