 	Basophils	CD4+ Central Memory	CD4+ Effector Memory	CD8+ Central Memory	CD8+ Effector Memory	CD8+ Effector Memory RA	Colony Forming Unit-Granulocyte	Colony Forming Unit-Megakaryocytic	Colony Forming Unit-Monocyte	Common myeloid progenitor	Early B-cell	Eosinophill	Erythroid_CD34- CD71- GlyA+	Erythroid_CD34- CD71+ GlyA-	Erythroid_CD34- CD71+ GlyA+	Erythroid_CD34- CD71lo GlyA+	Erythroid_CD34+ CD71+ GlyA-	Granulocyte (Neutrophil)	Granulocyte (Neutrophilic Metamyelocyte)	Granulocyte/monocyte progenitor	Hematopoietic stem cell_CD133+ CD34dim	Hematopoietic stem cell_CD38- CD34+	Mature B-cell class able to switch	Mature B-cell class switched	Mature B-cells	Mature NK cell_CD56- CD16- CD3-	Mature NK cell_CD56- CD16+ CD3-	Mature NK cell_CD56+ CD16+ CD3-	Megakaryocyte	Megakaryocyte/ erythroid progenitor	Monocyte	Myeloid Dendritic Cell	Naive B-cells	Naive CD4+ T-cell	Naive CD8+ T-cell	NKT	Plasmacytoid Dendritic Cell	Pro B-cell
SYNM	9.451694196	13.77504604	14.20080288	14.4790905	14.79081745	15.09486086	12.88422657	11.99593523	9.868946229	8.466486612	9.783481402	9.3065984	11.4100349	10.35733929	10.62291024	10.53757795	9.279826217	10.77641155	11.68953918	9.326748135	9.313799846	9.736264398	9.258752021	9.702645795	10.0365218	8.973098461	8.197836528	8.953806883	13.73849883	9.241155844	9.051581257	8.45300443	9.427385345	13.01217442	10.91000727	10.86408191	8.588042126	10.04007994
PPP1R16B	10.9871673	11.05638192	11.62693118	10.65117865	11.55721338	11.14181719	9.84052172	9.312051783	9.522332933	9.703778327	10.28204486	10.21652667	8.814418721	9.06732824	8.588089274	9.44330021	9.184936492	9.701247101	9.06126514	9.024980807	9.148636632	8.65918699	12.23878857	12.36079152	11.43872271	10.61303122	9.845309036	11.58562003	10.0528056	8.973199842	9.129142837	9.352522523	11.40789803	10.03570577	9.956493232	9.989995128	11.05861586	10.63349556
TCF7L2	13.56385813	11.95211806	12.19240159	12.41418586	13.53053978	14.62785009	14.34398778	15.40535144	17.54028907	13.22343341	16.00842557	16.26506793	15.36664734	15.55186096	14.9387602	14.76765808	15.0682484	18.22166217	16.50431959	16.30921506	17.04492897	16.65426732	10.60394353	10.49185179	12.35045579	11.06071325	18.79554388	13.33802382	14.17417952	15.42472807	17.14599322	13.38438671	10.28897658	12.34006256	13.81190403	18.07656372	12.57680235	13.42317045
CAMSAP2	9.857448425	13.61952777	11.87333486	11.72163254	9.561589531	10.06873239	13.06994058	10.70055329	10.58886276	10.14877777	9.956331053	10.28295357	10.46205218	10.2446988	10.69728041	10.4836848	9.80311987	10.71547442	11.83501308	10.35992997	11.18881737	11.28755453	10.1098712	10.07157923	10.58649289	9.055761543	8.629564071	8.914741216	10.34566495	9.507627478	13.2145534	10.58886572	9.258343099	13.76740984	13.16474327	9.65771779	9.708071728	9.652638842
OLFM4	16.83369663	8.260634636	8.148138468	8.016123581	8.569903245	8.574848072	16.7459519	12.09541101	16.818919	9.0827628	15.36809252	14.89910603	14.78197373	17.92928343	13.23889227	14.14342704	14.17226313	17.07889169	17.29542045	13.0782302	12.47821904	12.55824556	8.001907542	8.103287288	8.398537221	8.563766305	8.406989709	7.933583126	16.5807876	12.21077085	18.46032646	8.194447169	7.841049446	8.488486332	8.01028575	10.16302939	9.668855437	16.13695693
FAM171A1	9.000466921	13.73251679	13.7584795	13.2838199	13.63353178	10.37324104	13.75429608	10.25299397	7.639217064	10.34263725	11.65310805	10.4304138	8.425159792	13.36656829	8.322400259	9.834683724	13.14405179	9.997355585	10.33344736	11.1874933	10.34805175	11.02662641	8.071640116	8.234691499	8.339365399	8.469930073	7.382584955	10.16405066	9.270016135	12.39286217	7.537370204	7.752947482	7.594602743	14.87720103	14.51750316	11.3797902	7.916698047	9.054795515
KIAA1033	17.56049024	16.47160283	16.06189034	15.81516676	15.39667813	15.49120464	17.75461809	15.72446531	17.01613739	15.42179277	16.99320767	17.94117795	14.99723513	16.51805093	13.41561688	13.16344281	15.55208549	17.50074442	17.2409045	16.48210927	17.17665774	16.89513307	17.88221608	17.51394006	18.05276482	16.08007313	17.99978847	15.37903222	15.44380496	16.08166413	17.89971581	16.68001197	18.59802659	16.69388742	16.60024297	16.52594238	16.10723049	16.98767945
JAM3	11.7145957	15.10973641	14.21278465	14.10311315	14.22417278	14.2556066	14.70319019	17.29097076	13.65037012	14.4153799	12.16333363	13.1460165	14.54254592	14.84331567	12.36908235	13.97711632	16.32322614	14.32525733	14.26990942	14.64417675	16.47692583	16.74432162	17.35599085	16.81481705	16.78453505	10.87699127	9.581468122	10.81434251	17.69979418	15.94416171	12.5153357	10.18184876	16.50063055	15.15368335	15.82970986	11.31983334	10.8804807	12.20077172
DMXL2	15.55308789	14.3127389	13.02190994	13.82531179	13.32756313	15.35539142	15.72175536	15.3632334	18.41088733	15.89900766	15.14340678	17.01844995	15.1147179	16.69427201	11.16765327	13.66838795	15.81675945	18.72467862	18.30712129	16.9337128	16.55201979	16.44417506	13.66021562	14.20122602	14.19044958	12.16692779	18.52098234	12.09008277	15.7666987	15.85228806	18.97663415	17.09957434	10.68966735	14.20196269	14.83319056	17.19744903	17.18251119	15.20028353
SAMD4A	10.38285887	10.46695118	10.37101053	9.263987126	8.437560292	8.977596234	12.87964227	10.13060628	12.94714706	8.490171234	10.36466357	11.55694598	11.73589115	11.42233477	10.00172315	9.046287653	10.49808253	14.86594844	11.41125134	12.23752206	11.82299964	11.88286828	14.14871993	15.18809268	15.42866585	8.598284953	14.64711642	7.625837911	10.73134568	9.161198466	13.06088449	12.69829149	16.60245696	8.978789714	8.727414863	13.46627683	8.361839503	9.824812901
GRAMD4	10.51626832	9.751307623	9.199308584	9.488188222	9.46171299	10.55164638	11.92229846	10.23211967	11.53512906	10.43956389	10.45585023	11.20998737	9.500903987	11.2963451	8.835688685	9.31171932	11.64276	11.52862929	12.13747787	12.13627757	12.2060119	11.96457669	11.13378526	11.09408891	10.85442933	13.52922225	9.305363195	11.50748359	9.745601972	11.71452945	12.41555465	12.64159924	11.02565633	8.99030003	8.665880124	9.137747052	10.79105565	11.25462673
CBX7	8.881300556	13.28310057	12.90495693	12.84989276	12.23341721	12.00168362	11.27842867	8.529643838	9.148088268	8.302207091	8.574615654	9.687974835	10.27118718	8.644826205	12.80006881	11.11104749	8.040895988	10.38678256	9.96212015	8.392770565	8.437406504	8.939442895	12.94216557	13.61988367	12.96864607	10.50907983	10.04503123	11.29161743	8.740596779	7.825047614	9.410641706	8.195404133	13.45665003	13.12303792	12.922201	10.06583607	9.055070551	8.596247928
PXDC1	9.12673616	8.828970913	8.676115534	8.884543512	8.648933061	8.99494652	8.674919688	10.4110357	10.26212047	9.132987639	9.701221767	9.101155904	11.31505919	9.148013709	9.222479518	9.335633007	9.620397344	9.653585435	9.097287192	10.39349655	10.45117081	11.6136581	12.3889809	13.85071716	13.89920079	8.791738989	8.906723257	8.508739909	10.45195395	9.135229305	9.7424777	10.01922072	10.55612885	8.896516688	8.950053118	8.823914838	9.072978989	9.234290901
MCF2L	8.833304967	11.61695366	10.41184456	10.63986197	10.38550349	9.316453197	10.70818881	9.019947301	8.546331495	8.244375752	9.178335902	8.860917729	9.384607173	9.420597898	9.325233535	9.079343587	9.058772878	8.83689281	9.147470874	9.027889086	10.4219397	10.77832781	9.183423743	9.689607824	10.22676058	9.150990315	7.845463718	8.028176771	9.794893266	9.029988904	8.391451134	8.180162549	11.5912786	12.44263509	12.57968259	8.118309155	8.254508279	8.750663631
