"","[public-data1] act_vs_notact","[public-data1] act12h_vs_notact","[public-data1] act24h_vs_notact","[public-data1] act48h_vs_notact","[public-data1] act72h_vs_notact","[public-data1] act96h_vs_notact","[public-data2] act_vs_notact","[public-data2] act12h_vs_notact","[public-data2] act24h_vs_notact","[public-data2] act48h_vs_notact","[public-data2] act72h_vs_notact","[public-data2] act96h_vs_notact","[public-data3] act_vs_notact","[public-data3] act12h_vs_notact","[public-data3] act24h_vs_notact","[public-data3] act48h_vs_notact","[public-data3] act72h_vs_notact","[public-data3] act96h_vs_notact"
"TK1",3.82465010042693,0.365184242962241,-0.570496180647434,5.3181611419962,6.14956905657978,6.58216581780759,3.82465010042693,0.365184242962241,-0.570496180647434,5.3181611419962,6.14956905657978,6.58216581780759,3.82465010042693,0.365184242962241,-0.570496180647434,5.3181611419962,6.14956905657978,6.58216581780759
"PGAP1",-2.23259642573716,-5.74302464279215,-5.91564808490982,1.52224863612701,0.16036463659471,-2.1930342440779,-2.23259642573716,-5.74302464279215,-5.91564808490982,1.52224863612701,0.16036463659471,-2.1930342440779,-2.23259642573716,-5.74302464279215,-5.91564808490982,1.52224863612701,0.16036463659471,-2.1930342440779
"HSPA6",-5.25299328757752,0.252564102752716,-5.18086922576175,-7.33183289965419,-7.97547476058201,-7.09247202935215,-5.25299328757752,0.252564102752716,-5.18086922576175,-7.33183289965419,-7.97547476058201,-7.09247202935215,-5.25299328757752,0.252564102752716,-5.18086922576175,-7.33183289965419,-7.97547476058201,-7.09247202935215
"CDC42EP3",0.0641269565959437,0.18584527773896,6.5031614064042,-1.13964222690238,-1.13964222690238,-1.13964222690238,0.0641269565959437,0.18584527773896,6.5031614064042,-1.13964222690238,-1.13964222690238,-1.13964222690238,0.0641269565959437,0.18584527773896,6.5031614064042,-1.13964222690238,-1.13964222690238,-1.13964222690238
"TPX2",2.92102939791507,-0.982393425665156,-0.679524303651236,5.69462818536472,5.14005932652769,4.68094159656848,2.92102939791507,-0.982393425665156,-0.679524303651236,5.69462818536472,5.14005932652769,4.68094159656848,2.92102939791507,-0.982393425665156,-0.679524303651236,5.69462818536472,5.14005932652769,4.68094159656848
"KIF2C",3.17512021288622,-0.237668358692035,-1.11651344016373,4.88756957207322,5.7621573386679,5.22088645950521,3.17512021288622,-0.237668358692035,-1.11651344016373,4.88756957207322,5.7621573386679,5.22088645950521,3.17512021288622,-0.237668358692035,-1.11651344016373,4.88756957207322,5.7621573386679,5.22088645950521
"FANCI",3.26330399076012,-1.23319771698152,0.786002651220695,5.58811520597303,5.61718201318367,5.42717166149438,3.26330399076012,-1.23319771698152,0.786002651220695,5.58811520597303,5.61718201318367,5.42717166149438,3.26330399076012,-1.23319771698152,0.786002651220695,5.58811520597303,5.61718201318367,5.42717166149438
"CDK1",4.92905957044047,0.929329044105231,1.78175392986845,7.42954798904934,7.10413437686743,6.88184626891432,4.92905957044047,0.929329044105231,1.78175392986845,7.42954798904934,7.10413437686743,6.88184626891432,4.92905957044047,0.929329044105231,1.78175392986845,7.42954798904934,7.10413437686743,6.88184626891432
"SEMA7A",2.44647548404564,4.24670266663429,5.95240119223774,4.82426280962348,-0.0125327754835939,-1.14523812567289,2.44647548404564,4.24670266663429,5.95240119223774,4.82426280962348,-0.0125327754835939,-1.14523812567289,2.44647548404564,4.24670266663429,5.95240119223774,4.82426280962348,-0.0125327754835939,-1.14523812567289
"MEX3D",-2.98274304685561,-4.63675758087665,-5.19275337445241,-5.19275337445241,-2.2972194065302,1.91889813579785,-2.98274304685561,-4.63675758087665,-5.19275337445241,-5.19275337445241,-2.2972194065302,1.91889813579785,-2.98274304685561,-4.63675758087665,-5.19275337445241,-5.19275337445241,-2.2972194065302,1.91889813579785
"DSC1",2.49548802372906,2.18162535524947,7.51504581253748,3.61427598362624,1.98815333440275,-0.531168152812093,2.49548802372906,2.18162535524947,7.51504581253748,3.61427598362624,1.98815333440275,-0.531168152812093,2.49548802372906,2.18162535524947,7.51504581253748,3.61427598362624,1.98815333440275,-0.531168152812093
"SERAC1",1.70059340385023,6.58680543744806,0,0,0,0,1.70059340385023,6.58680543744806,0,0,0,0,1.70059340385023,6.58680543744806,0,0,0,0
"UGCG",-0.421481431276092,-3.06290016480717,2.64527275719132,1.95302114538495,-2.8481610394462,2.39549839242159,-0.421481431276092,-3.06290016480717,2.64527275719132,1.95302114538495,-2.8481610394462,2.39549839242159,-0.421481431276092,-3.06290016480717,2.64527275719132,1.95302114538495,-2.8481610394462,2.39549839242159
"NBEAL2",0.941664957177926,-1.24103369411037,-3.39347262026158,1.32950218055275,2.90861700796934,3.48926446980121,0.941664957177926,-1.24103369411037,-3.39347262026158,1.32950218055275,2.90861700796934,3.48926446980121,0.941664957177926,-1.24103369411037,-3.39347262026158,1.32950218055275,2.90861700796934,3.48926446980121
"PLXNA1",0.413809641091318,2.36246093275845,1.39984671865334,-4.75233437401185,1.08390353293133,1.3348937065194,0.413809641091318,2.36246093275845,1.39984671865334,-4.75233437401185,1.08390353293133,1.3348937065194,0.413809641091318,2.36246093275845,1.39984671865334,-4.75233437401185,1.08390353293133,1.3348937065194
"UHRF1",4.15699179541831,-0.55176952194204,5.02180892943247,6.23054585839019,5.90266989877729,5.68284120381227,4.15699179541831,-0.55176952194204,5.02180892943247,6.23054585839019,5.90266989877729,5.68284120381227,4.15699179541831,-0.55176952194204,5.02180892943247,6.23054585839019,5.90266989877729,5.68284120381227
