Gene,CD14_positive_monocyte,CD16_positive_monocyte,CD4_positive_alpha_beta_T_cell,CD56bright_natural_killer_cell,CD56dim_natural_killer_cell,CD8_positive_alpha_beta_T_cell,MAST_cell,basophil,eosinophil,gamma_delta_T_cell,hematopoietic_progenitor,macrophage_m0,macrophage_m1,macrophage_m2,memory_B_cell,myeloid_dendritic_cell,naive_B_cell,neutrophil,plasma_cell,plasmacytoid_dendritic_cell
NUDT1,55.35500161,129.6974599,78.87652511,52.2868293,73.51446503,86.94464827,57.0174401,62.90128839,12.66110659,78.90710216,279.6540922,181.8272433,40.58678191,64.72885211,78.8452126,125.8953968,69.0775237,21.41630814,23.26528484,312.4891873
NUDT18,54.24460724,119.0920061,56.65081803,48.60511,35.35678601,52.85544508,25.22853047,78.09180057,21.37622312,50.22002605,43.9173416,96.44229575,105.1662328,81.77349721,34.30207126,75.49766069,39.32100194,46.2659202,34.97146518,93.72564937
NXT1,93.77289101,225.2499083,164.1503968,98.9993326,156.1548961,224.0567431,79.75647628,155.1276135,89.82722144,220.9565384,243.7954668,50.34835974,187.9016481,191.3591698,97.11042173,217.3228601,116.4704663,105.740605,163.3383389,79.60057513
NXT2,64.94703883,110.4360863,58.75690524,66.08612451,90.64629384,59.64845766,220.7561155,53.75236102,29.75977866,79.54870969,79.10475704,35.52610128,94.35147694,85.26560457,70.97196189,93.79684895,47.13085851,55.637105,36.44381377,100.7763011
OLFM1,37.20237527,55.5957251,19.50176482,17.61282462,13.39205588,15.3121072,17.24737082,11.50268106,18.03449606,12.70192945,19.20638549,23.47824018,23.83663611,21.1287977,13.60352868,24.96536326,13.01591221,18.55587107,18.23940408,25.8238208
OR2F1,18.7656117,13.92144304,18.14242915,15.28803819,15.63838727,12.85605776,24.35262857,10.10019425,20.9229567,13.35120623,15.19851763,20.78210991,9.727019217,9.947481062,11.75854504,12.76177066,14.70546546,18.94028207,18.95969402,17.30337756
OR2J2,13.32759872,14.86394249,14.17546853,11.62689815,7.645069,9.688608305,14.47780873,12.4292015,7.961651798,9.119287361,9.134079698,23.93691937,8.206224718,8.262144095,10.83052045,13.68101859,12.48202156,15.81221445,10.81701846,31.45358737
ORM1,24.14276185,22.19614204,17.52609902,15.94540881,12.49927039,16.91123006,16.81012589,21.49014731,12.71525584,8.145658442,14.88787102,43.18347009,71.60749912,15.63406617,16.18297629,15.72267769,15.92259276,185.8752815,15.69659922,50.76156167
OSBPL10,16.34026917,11.22948289,19.38783891,18.60900888,20.49008645,18.37111616,16.26291861,11.48639431,22.97718188,19.38056682,23.42019456,20.36400213,16.20182115,23.09335702,104.8699386,16.47322303,105.278523,21.34756121,48.38286194,14.93852522
PALLD,52.11078669,43.40409736,25.14299248,60.39619946,34.00971986,22.00001842,59.61767951,660.4177086,10.13306968,17.98311753,22.75823824,90.71793262,64.22008231,322.8395319,25.64908807,127.0726754,25.6123872,20.77189965,14.17094478,55.39097873
PANX1,49.18379799,50.36965466,46.19916789,50.00250853,80.0505484,44.61534081,57.91975227,23.51653451,29.98267906,63.78553443,36.4783395,48.91950256,93.92697878,38.53615581,34.66678104,53.39759651,25.54239171,24.17130176,33.60799796,22.64545543
PAX5,23.44412571,15.45840118,18.67527116,20.57807518,21.44556405,22.34666715,23.5336748,9.27833823,35.31888936,20.0274864,38.73478535,22.05220768,12.4321526,10.26064263,169.2611704,16.97249207,212.0252857,24.08132606,43.32905652,40.0094805
PCGF2,24.94240962,42.00222808,27.85059059,23.907789,24.75964543,24.07973792,29.88309749,15.03170345,21.87178019,28.47440649,30.25808365,25.26857461,54.52115796,38.41658523,29.00033023,21.75402178,28.85880246,34.70816385,47.62778536,179.9496031
