"","Bmem.activated","Bmem.resting","Bnav.activated","Bnav.resting","Bplasma.resting","BSph.resting","ESph.resting","mDC.activated","mDC.resting","MOcl.activated","MOcl.resting","MOim.resting","MOnc.resting","mTregs.activated","mTregs.resting","NKbri.activated","NKbri.resting","NKdim.activated","NKdim.resting","NTph.resting","nTregs.activated","nTregs.resting","pDC.activated","pDC.resting","T4cm.activated","T4cm.resting","T4em.activated","T4em.resting","T4emra.activated","T4emra.resting","T4nav.activated","T4nav.resting","T8cm.activated","T8cm.resting","T8em.activated","T8em.resting","T8emra.activated","T8emra.resting","T8nav.activated","T8nav.resting","Th1.resting","Th17.resting","Th2.resting"
"IGLV3-9",71966.25,24308,23609,39850,223486.5,100040,64910,58526.5,106743,74338.6666666667,28469.25,79810,45342.75,29758,31509.5,0,0,0,1438.5,0,28937,71972.25,85907.5,14077,20910.5,0,12864.25,4596,27276.75,269047.25,12362.75,11198.5,3900.75,13607.25,0,4964.75,6732.5,18704,8782.75,1428,18920,36734.5,42438
"ARSB",1783.75,242,9844.5,188.25,61,486857.25,1602408,1063.5,5658.5,22543.6666666667,8970.25,20789.25,22372.25,35.3333333333333,403.25,4986,1124.75,11427.6666666667,878,29649.25,96.6666666666667,508.75,2634.25,37629.25,149.75,112.5,111.25,241.75,756,121,304,103.25,179.5,209.25,1183.5,428.75,442.5,766.75,0,387.5,36,118.5,135.75
"FCGRT",0,241,327.25,87.25,0,4736.25,1237.25,9312,151051,0,64087,136037,157646.25,0,585,0,784.5,0,0,4755.5,310.666666666667,483.75,2614.25,41776,0,273,0,140,0,795.5,0,451.5,0,185,0,170.25,173.5,142,0,179.25,6762.5,0,362.5
"CHAF1A",6173.5,0,20227.5,0,1803.75,0,3288.5,860.25,2473.5,5484.66666666667,0,1023.75,0,485.333333333333,388,15101.3333333333,128.75,14405,129.75,16561.5,22192.3333333333,279,1589.75,305,37049.5,31.75,37577.5,0,39064,0,19884.25,35.75,23060.25,57.25,17132.5,75,15177.5,0,24670.25,0,0,152.5,325.25
"FAM110A",12324.25,0,17351.25,0,0,69666.75,0,0,0,0,0,6493.5,12899.25,0,0,0,0,7332.33333333333,0,0,7163,0,0,1745,9282.25,0,8422.75,0,3445,195.5,10398.5,0,5634.25,5495.25,12674.5,3441.5,12990.5,0,16642.25,3557.75,2499,0,1029
"UBC",37898.5,23690.5,26926.25,8523.5,0,1723.25,4551.75,64012.5,32825.5,160142.666666667,500578.25,18400,144467.25,0,2481.75,24437.3333333333,5170.25,23445.3333333333,1255.25,412824,0,6604.5,7105.25,27022.5,40154.5,0,78322.25,7385.25,43579.5,10467,20700.25,0,33957.5,4604.75,33777.25,6385.75,7539,0,35590.25,1761,9569.5,6228.75,2524.25
"GYPC",3115.75,8875,8917,9820.25,0,0,0,0,5449.75,0,0,0,0,0,6481.5,0,10092.75,8381.66666666667,1791.75,0,31518.3333333333,16620.75,0,0,19715.5,8091,20903.75,14986.75,22308.75,3056.25,20600.75,17644.25,11065.25,13137.25,9575.5,17311.25,10527.25,9035.75,23005.75,22111.5,6848.75,6248,11891
"COX18",11187,0,10678.25,0,8809,16924,26898.75,1410.25,577.25,132716.666666667,24070,61128.25,15848,1644.66666666667,0,474,0,1372,0,118358,8411.66666666667,0,1868.75,0,23873,2679,8598,0,4117,2650.25,4855.75,0,11383.25,770.5,4929.75,0,1314.5,0,7011.25,775.5,1141.5,102,0
"HMSD",0,0,0,0,0,5615.75,0,0,26035.5,0,48635.75,113137.75,23143,0,0,0,0,0,0,10678,0,0,0,8850.75,0,7560.5,0,6235,0,0,0,0,0,5027.25,0,4562,0,0,0,1365,0,3019.5,2255.25
"IRF8",48893.75,128974,73681.5,112607.5,817.75,719.25,0,95750.25,30664.75,1289.33333333333,11489,25028,20318.25,0,168.5,24378.3333333333,13355.5,6798.33333333333,3205.25,3583.75,949,25815.75,383892,1204644.75,872,962.75,1045.75,602,2452.75,2257.25,939.25,478,595.75,1105.25,272.75,1520.25,317,1127.25,9394.25,1125.5,211.5,362.75,1056
"APOBEC3A",0,0,0,132.5,255.75,570.25,414.75,1013.25,0,342612,10992.25,995401,285754.5,0,0,0,0,0,0,0,1660,0,181.5,0,0,541.75,0,0,0,0,0,207.25,226.25,267.5,415.25,269.25,0,0,0,231,0,680.75,169.75
"TNFRSF8",445.75,37.5,606.25,519.75,950.25,11317,518.75,4919.5,1346.25,1390.33333333333,0,29971,67801,0,122,4304.33333333333,1133,12552.6666666667,501,3368,12406.3333333333,103.75,163.25,288.25,91149.75,177.75,213836.5,0,51902.25,0,1411.25,0,60418.75,103.75,85035,952,6238.75,198.75,435.5,801,0,104.5,214.75
"HAVCR2",0,5475.75,3041.5,0,4087,10696.75,0,0,38557,0,13831,24369.5,35583.25,0,585.75,56247,18748.25,40851.6666666667,17385.5,3491.25,3487.66666666667,0,2970.75,1806.25,14201.25,859,15066.25,0,17347.5,2906.75,15607.75,0,7020.75,0,6300.25,0,6774.25,562,29219.5,49.5,0,975.5,2203
"SCIMP",0,20205.25,0,11433.25,3024.75,0,0,0,21687.75,0,4774.75,31721.25,58249.75,0,266,10220,0,0,0,0,0,0,0,977.25,0,0,0,0,4691.5,0,31049,0,12933.75,0,3671.75,453.25,0,0,13453.75,0,191.25,0,654
"PACSIN1",37.5,4584.25,257.25,963.75,14.5,98.25,1.5,24.75,45.25,38.6666666666667,777.5,976.75,642.5,0,1.75,74,95961,15.3333333333333,8.75,279.5,1291.66666666667,6672.75,793294.75,1433141.25,25.75,4.5,123.75,28,32.75,687,50,0,93.75,535,454.75,2094,332.5,8.5,290.25,8.75,1021.75,9.75,14
"LCN1",0,1577.25,3777.25,0,10461.5,4470,11125.5,3423.75,24864,4269.33333333333,21024.75,0,22694,1985.33333333333,0,0,1780.25,0,7430.25,49541.75,0,35859.5,0,14112.25,0,4184.75,0,6962.5,0,24594.75,5377,16837,2733,2016.25,0,1356.25,4299,0,0,14252.25,0,18845.25,7696.5
"SIRPB1",1719,12302.75,6570.5,854.5,0,1520,56704.5,2109.5,788.25,11444,188913.25,60407.25,61298.25,0,2979.75,1580.66666666667,3205.25,0,920.25,419946.75,0,6100.5,569,7674.5,1201,0,13242.75,148,16188,8826.5,317.25,0,11640.5,0,1898.25,614,952,2454.25,0,329.25,187.25,316.25,0
"IFNA21",0,0,0,0,2161.5,0,0,7399.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14668.75,0,0,43033,0,19831.75,33869.5,0,0,49824.5,0,0,0,0,0,0,0,17346.75,0,20370.75,13266.5
"ICOS",480.25,0,0,394.5,0,2061,2380,0,0,0,12252.25,17405.75,8329,0,15507.25,8998.66666666667,1466.5,33709,7525.5,3641.75,14594,638.75,0,0,32128.25,14897.75,73164.5,2930.75,58112.25,0,68038.25,1683.75,41500.75,611.75,17479.5,5843.25,22889.75,4569.75,45312.5,2489.5,2271.5,12596,10353.5
"NINJ1",5428.75,2314.25,1454,1623,0,8683,78914.5,158427.25,2465.25,650145.666666667,61485.25,72080.25,65612.25,1081.33333333333,1108.75,0,1903.5,0,0,91129.25,695.666666666667,0,67635.25,1904.75,5736.75,916.25,9658.25,5654.5,4884.25,0,1079.5,2589.5,6608,1062.75,4188,1210,1850.25,660,11034.5,477.75,0,835.75,847.25
"LYRM5",0,3098.25,0,1869.25,0,0,0,0,0,0,0,11651.75,6352.5,0,4927.75,0,7235,0,1427.75,0,0,9043,3421.25,15144.25,0,17745.75,0,12331,0,575.5,0,17920.25,956.75,13442,0,7814.75,0,4566,10601.25,21291.5,12623.5,11185.75,12123.75
"C1orf162",1418.75,4222,3651,4550,0,9826,12796.25,17069.5,44619.75,5909.66666666667,28130.25,95458.75,94793,0,1262.25,18816.6666666667,19774.25,0,15100.75,0,0,5019,0,5404.25,0,7972,0,2033.25,0,4856,3649.25,7955.5,0,5344.5,0,2842.25,0,4054.25,0,8139.5,4298.25,8082.25,12744.5
"CD300E",0,0,8750,0,0,5424.25,1397.5,1759.5,3147.75,43147,61811,69703.25,91498.75,3712.66666666667,0,8572.33333333333,7190,0,3253.75,13369,0,4715.5,350,3939.5,0,15114.25,0,19854,0,1084.25,0,8604,20915.75,5400.5,6350.5,7992.25,0,10317,13383,10530,2665.75,13120.25,10897
"OCC1",72594,9864,224143.75,0,36160,107607.75,19187.75,46487.25,213852.5,0,35111,66057,31547.25,0,155339.5,160251,171105.5,318739.666666667,250200.25,0,37241,77354.25,237926.75,1150551.5,70313.75,80820.75,157010.25,223032,157769.75,109706.25,65540.75,12178.25,119888.75,118742.75,169459.5,354771.5,128251.75,375754,126168.75,58820,58247,91557.75,85411.5
"TTR",11661.75,2139.5,5023.5,6350.5,0,1475533.75,3069371.5,725491.75,2945949.75,1692757,486219.25,6587757.75,3132519,3507349.66666667,1783578.5,273090.333333333,418559.25,120800.666666667,300924,704363.75,578539,3350960.5,1933366.75,1384576.25,384263.5,347040.75,767823.5,535260.25,692675,7831673.5,197675.5,371417.25,112180.5,818468,131979.25,433946.5,184974.5,1055787.25,93937.75,396933.5,728709.25,1650438.25,1500908.5
"MMP25",1305,327.5,1335.75,53.75,0,70683.25,231435.75,237,130.75,707.666666666667,1415,258.5,1543.75,0,86.75,125416.333333333,0,61213.3333333333,21,409118,0,0,237.5,71.25,769.5,35,103.25,36.75,732.25,0,105.75,172,524.75,150.25,135.25,9.5,165.25,116,0,19,28.25,114.75,43.75
"SLC1A4",34270.75,318.5,42161.5,401.5,27292.25,946.25,0,12507.25,7449.5,3455.66666666667,3142,6435.75,21966.25,686.666666666667,2151,81535.6666666667,5482.5,100568,2236.75,23688.25,26446.3333333333,0,10812,4288.75,24076,45.75,32243.25,1590.5,46563.25,110,17768.5,0,9893.5,185.25,47059.25,2074,29767.75,1042.75,11604,90.5,0,0,0
"TSPAN33",23672.25,1902.5,50043.5,2485,0,0,14736.75,37196.5,680.75,29567.3333333333,5533.5,44597.75,2626.75,0,0,0,523,0,0,21744.5,0,0,3610.25,0,292.5,0,1489.75,0,0,0,0,0,0,0,0,0,2546.25,0,0,0,0,0,0
"SRXN1",4669.5,3356.5,22028,0,0,18341.5,4282.25,222322.25,38921.25,245343.666666667,29486.25,220558.5,31513.75,6273.33333333333,16236.75,29950.6666666667,44099.25,24663.3333333333,29469.75,224780.5,14483.6666666667,79183.5,72403.5,9459.25,55737.5,0,131987,971.25,60955,3704,22342.5,1844.5,59796.5,23119.25,9846.75,21723,16792.25,2203.25,28667.5,91050,1009.5,0,0
"LBH",76418.75,188352.25,98585,103376.75,16471.25,1722,0,7470.75,3692.5,8196,1112.25,2829.25,0,17084.6666666667,59142.25,893.333333333333,48484.5,8579,165839.25,0,41755.6666666667,80502,17287,62594.75,27324.75,122047,6150.25,120124,0,116893.25,12363,108199.25,7240.25,99527.5,16482.5,174934.75,14279.5,179398.5,15950.5,136653.5,76243.75,70514,204606.25
"GNGT2",8094.75,0,7760,0,0,0,0,0,1649.5,0,0,4637.75,61949.75,0,0,16159,19281,17342.6666666667,1210,0,0,0,0,0,0,0,0,0,10191,0,0,981.5,10529.5,9071.75,7664.25,8690.5,1871.5,566.5,7507,8834.75,0,0,0
"PLA2G15",1436.5,0,0,17.5,9013.25,10452.5,2587.75,0,2940.25,0,12871.75,9574.5,276259.75,0,57130.75,4900,170.25,156322.333333333,1171,651.75,0,6361.25,0,2706.25,0,204.75,0,38,0,13688,2615.5,59.25,1555.25,659.25,239,1476.5,14310.5,9205.5,17352.5,508.25,1042,64.75,1946.25
"NPTX1",5134.75,6380,0,3714.5,0,21244.75,3102.25,0,0,0,0,140897.75,31215.25,0,1991,4487.66666666667,0,3566.66666666667,9258.25,0,5065.33333333333,0,3075.5,0,13471.75,0,9851.5,0,0,3903.25,13022.75,697.75,9851,0,9025,8206.25,0,9770,10677,0,2051.5,1752.75,2878
"LAG3",0,0,0,0,245,266,0,430.75,926.75,1701.33333333333,1807.75,1228.5,0,0,0,983.333333333333,0,4748.33333333333,24,5676.5,2883.66666666667,0,2324.5,0,5994.5,0,35351.75,0,81678,0,301,319.75,58423.5,0,62873,16.75,24638.25,0,36500,0,164.5,0,0
"CDKN1A",0,0,0,0,19094.75,0,8969.75,626375,12408.5,1900.33333333333,0,4688.5,1695.5,0,0,0,0,1016,0,83460.5,0,0,6907,752.5,0,0,0,0,685.5,0,0,0,0,0,0,0,0,5682.5,0,0,0,0,0
"ELK1",3656.75,766.75,10914.25,0,0,0,0,6375,5286.75,6786.33333333333,5515.75,2602569,736727,3157.33333333333,47112,4475.66666666667,2811.5,0,1320.5,3515.5,0,4796.25,6729.5,7548.5,2952.5,8977,4377.25,13625,1993.5,4236,13571,6958,25679.25,6111.25,2360.25,8974,0,4183.75,36983.5,6532,0,8147.75,4205.75
"AMBP",4143,8134,0,16965.25,300.25,350433.5,126576.25,79060.5,529423.5,126408.666666667,31077.75,560116.5,267787.75,144631,230556.25,540.666666666667,34884.5,935.333333333333,23838.75,13493.75,5722,697082.5,142437.75,177202,4587.75,29322,29136.75,55989,46291.5,912087.25,7736.25,81325.25,387.5,72894,1114,30783.75,7382.25,189254.75,4283.25,29395,97878.25,140779.25,200661
"MFSD8",0,0,0,0,0,5344.5,34988.75,0,0,0,9291,0,17970,0,0,17532.3333333333,3061.5,29269,3341,3781.75,0,0,7793.5,6817,7783.75,2810.25,8382.5,3251.5,0,0,3182.75,7604,11222.25,16297.25,9634.25,11282,5429,14464.75,1372.25,8746.75,6852.25,17705.25,17208
"METTL5",532350.5,164024.5,964141,0,79650.25,32856,75679.5,0,221674,170341.666666667,50610.75,400374.75,324196.5,0,1219102.5,346825.666666667,253743,448151.666666667,522014.5,1047440,553525.333333333,597453.5,73194.25,222384.75,650806,152690.25,1243321,85949.25,1039941.25,64176.75,241311.5,173188.25,368186.5,154881.75,556506.75,181744.5,359979,142257.25,428750,239174,111424,127036.75,173653.5
"POTEKP",0,0,21445.5,0,0,2102.25,3624,0,7823,0,0,2687,16113.75,0,10058.5,135825.666666667,0,31808,2276.25,0,22861.6666666667,2403.75,2914.25,0,0,1636,0,5376.75,2261.75,5345,59837.75,0,3587.5,12867.25,14745.75,6316.75,3282.5,5465.25,10667.75,2506.75,20170,1035,1244.5
"PRKACG",0,5621.5,0,4784.25,0,8758.25,363.75,0,8908.75,0,7032.75,9746.25,19866.25,0,4182.75,0,5711.25,0,7904.5,10955.75,0,11096,0,9116.5,0,9221.25,0,13464.5,0,15440.5,0,7528.25,0,7283.25,0,7851.5,0,3209.75,0,11567.75,2695.5,6559.75,11352
"NCR1",0,3160.25,0,0,32058.5,0,0,0,7319.5,0,0,278.25,0,0,2422.75,46099,136686.25,44445,27533.25,4713,0,11896.5,0,353.5,0,2112,0,7388.25,0,1516.75,3958.75,2090.75,10140.25,2186.5,5679,2291,849.75,4502,0,599.75,210.75,4008.75,5472.25
