"","Bmem.activated","Bmem.resting","Bnav.activated","Bnav.resting","Bplasma.resting","BSph.resting","ESph.resting","mDC.activated","mDC.resting","MOcl.activated","MOcl.resting","MOim.resting","MOnc.resting","mTregs.activated","mTregs.resting","NKbri.activated","NKbri.resting","NKdim.activated","NKdim.resting","NTph.resting","nTregs.activated","nTregs.resting","pDC.activated","pDC.resting","T4cm.activated","T4cm.resting","T4em.activated","T4em.resting","T4emra.activated","T4emra.resting","T4nav.activated","T4nav.resting","T8cm.activated","T8cm.resting","T8em.activated","T8em.resting","T8emra.activated","T8emra.resting","T8nav.activated","T8nav.resting","Th1.resting","Th17.resting","Th2.resting"
"MAGEA13P",10607.25,0,1109.75,0,3466.25,212.5,0,256.75,1143.5,4886,0,3418,25843.5,0,374.25,0,85296.75,0,2090.5,0,3248.66666666667,0,1094,16527.75,2616.25,627.75,8924.25,34572.5,0,1991,0,0,0,96312.25,879,384588,2620.25,47031.5,0,4861.75,12779.25,0,273
"FCGR2A",0,5066.25,0,0,0,3696.75,23616.5,0,17337.25,51218.6666666667,30955.5,60238.5,35392.25,0,3505,0,0,0,5671.5,54166.75,0,0,0,8524,0,0,0,0,0,791,0,2397.25,0,0,3865,0,1537.75,7929.75,0,921.25,0,2292.75,0
"IGKV2-30",10254.75,4935.75,0,1996,35749.25,15796,16200,0,9689.25,27059.6666666667,3216.75,10118.25,12142.75,31252,2599.25,0,0,0,0,0,0,10217.5,22644.5,2157.75,0,0,0,0,0,45974.25,0,0,0,0,0,0,0,2928.75,0,0,1125.5,0,0
"ATF3",0,5012.25,0,9616,0,0,0,286198.75,0,32254.6666666667,0,0,0,0,0,0,0,0,0,0,101428.666666667,0,305121.25,0,0,0,0,0,0,0,24563.5,0,0,0,0,0,0,0,0,0,0,0,0
"DHCR24",37501.25,251,64692.25,0,11699.5,597.75,127,4897,7365.25,2371.66666666667,6527.25,5572.5,1515.25,428.333333333333,322.5,309870.666666667,280.75,258639.666666667,2238.5,19213.5,14847.3333333333,568,2831.5,2018.25,25283.75,154,37422.75,7.75,33375.75,1664.75,19992.75,20.5,34976.5,0,76101.5,315,43540.25,1967.5,19282.75,6,657.5,0,0
"UCHL1",27216.25,4430.25,25922.5,6464.5,43082.25,23411.75,0,13191,32937.5,0,6103,14191.25,3139.75,0,0,9183,505.75,27077,661.5,0,11117.3333333333,0,30646.75,39229.25,9103.5,999.5,18703.5,0,15244,0,44856.75,0,2042.5,402.5,0,1970,0,0,11808.25,6130,0,0,3823.25
"SUMO4",20469.75,239575,27751.25,79412.75,105114.5,9020.25,415023.25,39046,6912.5,15264.3333333333,2592.25,6462.5,31040.5,189457.333333333,7056,17536,0,781,20556.5,0,46371.3333333333,12036.25,30141.25,833.5,44467.75,2233.5,302815.75,0,48670.75,180129.75,651.25,0,54927.25,7095,5927.75,12346,1328.25,5774.25,35823.75,3451.5,193659.25,0,404.5
"BLNK",159027,85172.25,238338.25,75282,2354,0,0,640,4377,93.3333333333333,243,197.25,139.25,146,44.75,318,398,571.666666666667,87,0,97.6666666666667,1280.5,131217.5,416733.5,73.75,77.5,246.75,94.5,68.5,115.25,58.75,104.75,209.5,148.5,438.75,57.25,287,111.25,131.25,12.75,201.75,65.25,100.5
"EMC6",0,0,4031.5,0,0,0,0,0,11937,2944,42225.25,29808,22014.25,0,5599.75,0,2094,14620,2579.25,0,0,0,2456.75,16486.25,0,0,7874,0,3936,0,3132.25,0,31224,72797.75,22026.75,2401.25,15121.5,4362,17096,0,2559.25,0,1839.75
"PYURF",0,0,0,0,0,0,0,0,0,0,18154.5,38210,7336.5,0,0,0,0,0,0,0,0,0,0,0,0,26096.5,0,13972.75,0,5528,0,21653.5,0,9773.5,0,10149.25,0,6079.75,0,19854,0,14510,42083.5
"RACGAP1",22200,19348.5,52545.25,37039.5,344.75,3142.5,12071.25,1536,292,3225.33333333333,0,21797.75,2930,0,352.75,79201.3333333333,222.25,43858.3333333333,257.5,88992.5,49635,260.5,1124.5,1804.25,89964.5,0,69309,872.25,55549.5,0,72153.75,686.75,125530.75,1963,79755.75,1610.75,27888.75,920.75,61578.75,1277.25,188.75,97.25,3356.5
"RAB13",8294.75,0,31097.75,276.75,0,2020.75,16227.75,13246.5,3906.5,33639.3333333333,10014,14539.75,3898.25,0,0,6711.66666666667,0,4666.66666666667,361.75,276628.25,22878,0,9957.25,8058.25,0,0,0,0,5623.5,0,2339,0,1181,0,0,585.5,0,0,27360.25,0,145.5,0,1158.5
"LTB4R",585.5,13510.25,1351.5,0,758.5,15746,52587.25,146.5,1515.5,61109,126861.25,18515,213.5,0,0,0,595,0,0,925437.25,0,0,1159.75,0,1522.25,0,757.5,0,0,0,1656.5,191.25,775.5,167.25,0,0,627.25,0,0,0,0,0,0
