"","Bmem_A","Bmem_S","Bnav_A","Bnav_S","Bplasma_S","BSph_S","ESph_S","mDC_A","mDC_S","MOcl_A","MOcl_S","MOim_S","MOnc_S","mTregs_A","mTregs_S","NKbri_A","NKbri_S","NKdim_A","NKdim_S","NTph_S","nTregs_A","nTregs_S","pDC_A","pDC_S","T4cm_A","T4cm_S","T4em_A","T4em_S","T4emra_A","T4emra_S","T4nav_A","T4nav_S","T8cm_A","T8cm_S","T8em_A","T8em_S","T8emra_A","T8emra_S","T8nav_A","T8nav_S","Th1_S","Th17_S","Th2_S"
"EXOSC3",148220.5,107823.75,157380.25,60968.75,28358.25,49648.25,31581.75,105824,91431.5,83656.6666666667,94368.25,207004.25,132917.5,32817.6666666667,95146,106952,93782,121487.666666667,55332.5,257000,202336,68019.5,82175,108487,201621,99234.75,298503.25,90821.5,222149,56830.75,141836,81964.5,221831.75,78613.25,175163.75,90425.5,118285.75,87168.75,142555.5,113210,83370.5,81710,86694.75
"EXOSC4",253724.75,127553.25,320736,55770.5,40907,60197,24941.75,160640.5,103821.75,106267.333333333,168141.25,162821.5,93763,42958.3333333333,125478,164694.666666667,127745.5,161340,77889.5,105674.5,294994,82574.25,133678.75,151776.25,293725.5,106192,459788.25,109945.25,325868.5,60131,200427.75,99570,330396.75,105452.75,285340,107659,154695,101359,249772.75,99878.5,84007.75,139633.75,138403
"EXOSC5",144546.25,72628,182416.75,51877.25,26311.25,25609.75,21718.5,101015.25,88210.75,122216,61298,136039.75,104235.5,17339.6666666667,57407,91701,101485.25,115021.666666667,57147,70264.75,217153.333333333,60453.25,77817.5,90708.75,213028.25,94227,301712,86921.75,202599.25,51591.25,147243.75,70012.25,189568.5,82239,158780.5,76072,108046.5,78487.75,163833,101637,53119.25,96114.5,103734.75
"EXOSC6",127257.5,79018,215010,46029,26600.75,11593.75,11827.25,67634.75,82816.75,70743.3333333333,84207.25,33097,49171,16308,34910.25,114376,57296.75,125531.666666667,37497,0,178846.333333333,42092.5,56944,97983.5,201734.75,66039.5,201355.25,66654.75,164828.25,28990,130330.25,50557.5,273745.75,63212.5,169284.5,72968,107623.25,50040.75,177670.5,59893.75,79436,58618.75,54004.5
"EXOSC7",137239,57903.25,156539.25,48878.25,18500.5,23172.75,14560.75,59140.25,71009,69086.3333333333,54052.75,105368.75,95895.5,17568.3333333333,75500,83901.6666666667,94480.25,113530.333333333,45082.25,90429,199243,43453.5,32809.75,83442,156359,91428.75,341407.25,68116.25,229118.5,37278.25,112799.25,66520.5,130942.25,78798.25,134102.25,69269.75,88822,59506,129534,83570,62545.75,78139,100765.25
"EXOSC8",93958.75,113353.75,136146.25,61058.25,47562,42535,18202.25,55519.5,100623.5,38719,91576.25,175920,116666.25,21915,84756.5,96672.3333333333,96889.75,134971.666666667,67308,25702.75,133554,88052.5,44838,96586.5,149312,115805.5,254614.25,89856.5,199267.25,54500.25,84223.25,88551,185778,86177.75,159538,110227.25,124143,93138.75,156148.5,114585,69185.5,99325.25,135386
"EXOSC9",67536.75,45880.25,97384,28189.75,21368.25,24673.75,13280.5,36481.25,38814.25,36725,46216,63473,59164,12051,41833.5,55547.3333333333,37405,68327.6666666667,25853.25,13567.25,84768.3333333333,35052.25,50026.25,46466,123964.5,45752.5,161947,42085,113750.75,25518.25,75898.5,42919.5,106441.75,42080,93116,43781.5,62118,43005,84942,52210.5,43026.75,41485,54057.75
"EXT2",0,4241.75,0,633.75,0,1326.75,0,0,0,0,5100.75,13839.25,10047,0,940.5,764.333333333333,2022,5396,243.75,0,1217,892.5,0,1276.75,0,2295.25,0,289.25,0,5312,2313,456.25,0,382,208.5,0,2155.25,6741.75,0,1371,0,814,0
"EXTL2",8390,4855.5,8034,0,1917,11958.25,0,1707.75,2936.5,14147.6666666667,3058.5,7467.75,11712.5,0,3796.75,7323.66666666667,6214.75,22874.6666666667,2365.25,0,26340.6666666667,5588.75,0,14766.5,4469.5,2047.25,7024,1054.5,18138.25,3714,0,0,0,8170.25,4552.5,1933,745,7059.25,3677.5,3400.75,2586.75,1053,0
"EYA3",4633.25,1484,9262,252.25,1843,20206.75,0,5114.25,8630,0,2489.25,13369,5821.75,409,62640,1871.66666666667,1267.5,2740.33333333333,13682.5,4103.25,8496,4303,259,93884.5,5959.25,3944.25,10949.5,11285,5790.75,0,2150.75,25113,2948.25,9648.75,3372.25,22670.5,1974.25,31554.25,3157,11179.5,854.75,0,51390.25
"EZH1",0,5349.75,5034.5,7545.75,0,2465.25,0,0,4269,2391.66666666667,1512,18050,4980.75,0,3554,405.333333333333,5916.25,0,3044.5,36291,0,4062,0,2381,0,4169.5,7577.25,3125.5,4295.75,1250,1630,5491,335.5,4108.25,378.5,3590.75,334.75,4297.75,152.5,4444,2725.25,4106.25,5088.25
"EZH2",21565,1018.75,51292.75,197,1176.75,3753.75,2457,18693.75,10611,11496.6666666667,2424,2547.75,1762.75,2027.33333333333,2388.75,37094,2211.5,45383.3333333333,602,4684.75,40194.3333333333,2228,2400,2927.25,79047,2482.25,77060.25,2176.25,51278.75,7363,42841.75,1203,23085.5,1394.75,59070.75,2097.25,24135.25,773.75,38770.75,1093.25,188.25,1292.75,1243
"EZR",3281911.75,1624905.5,4207096.25,838158,1127887.5,1194923.75,695367.75,1675638,2395614.5,1251160.33333333,1005937.25,2954849.75,1895984.25,851303.333333333,1678921.25,486327.666666667,765701,537375.333333333,655190.75,2935992.75,2514293.33333333,965869,1145076,1496586.5,2406026.75,905262.25,2403558,1283869.25,1800108.75,1286785.75,1108245.5,432136.75,1500071,1160477.5,1199376.75,1505297.75,786733.25,1744842.25,1123414.5,458680,683676,892885.5,931301.75
"F10",3734.25,404.75,4177.5,223,8586.5,22924.5,12718.25,4422.25,22035.25,7209.66666666667,0,2583,965.25,3054,2361,165,0,435.333333333333,0,0,2104,13980.75,2004.5,5523.5,842.25,1211,531.75,874.75,920.5,37107.25,0,438.25,1705.25,1010.5,0,293.25,427,5606.75,83.75,305.5,2989.25,1979,2550
"F11",121,0,0,0,0,0,54.5,148,1965.5,532.666666666667,0,1769,1885.5,485,103.25,0,1113,213.333333333333,198,0,0,223.25,229,1357.5,269.5,0,151,0,638.75,762.75,54,458,0,1527.25,522.75,1458.75,1576.75,601,669.75,705,0,0,0
"F11R",8040,8274.25,24792.75,5310.75,11512.5,68918.25,40252.25,59036,98297.75,38306.3333333333,147370.5,102311.75,63725.5,3475.66666666667,18522,29441.3333333333,27962.5,16715.3333333333,27404.75,74604,59802.6666666667,19153.25,39614.75,69472.25,18085.5,50301.5,17072.25,43102,16631.5,17641.25,23838.75,27775.5,28648,41473.5,22364.25,21877.25,14954.25,23443,45437.5,35359.5,29829.25,32103,35014.5
"F12",1588.75,6062,2662.5,450,1747,71063.25,63479,21610.75,156243,50599,2663.25,123741.25,44542,33823,53616,1079.66666666667,1188.5,1363,2032.5,1212.5,6591.66666666667,156473.75,60700,47243.75,5504.75,1451.25,12832.75,12319.25,27031.25,217023.25,3590.25,4593.75,1595.75,13378.25,2941.75,3656.25,2200.75,31279.25,2974,7073,23055.25,30495.25,36556.75
"F13A1",2396.25,1588.25,1346,1385.75,6572.75,8612,105,57922.75,69808.5,521116.333333333,867265.75,1355824,714396,22,1108.75,2868,990.75,1854.33333333333,1006.25,272.25,346,7317.5,40134.5,38639.25,677.5,57.5,932,74.25,1936,16267.75,2380.25,38.75,1833.25,248.5,687.75,138.25,383,977.25,1457,34.75,420.5,106,1502.5
"F13B",0,621.25,964,883.75,1205.5,19397,26950.25,13682.75,58888.25,21736.3333333333,3723,162480.75,49729,17197.3333333333,29545.5,0,235.75,292,120.5,3979.75,146.333333333333,124242.75,24177.75,20417.25,712,2883.75,636.25,13315.25,15602,136173.75,607.5,2887,779.25,7436.75,1561,3139,4792.25,13456.5,3005.25,4837.5,9464.75,19394.75,16833
"F2",124600.25,15405.75,77038,21414.25,992811,972852.75,782884,720866.75,1655496.75,1058789.33333333,175532.75,2325164.5,1204202.25,1625923.66666667,705727.25,9822,32667.75,20207.6666666667,30738.25,30603,176581.666666667,1939155,1154833,554885,206380.75,151484.75,253683.5,268633.75,476362,3304167.75,149711,155894.75,143733.5,304658.25,180863,155410.25,257393.5,577543,173727.75,196413,355289.75,533916,681065
"F5",19700.25,19128,10036.25,31996.25,56229.5,25525.25,6911.5,33957,31496.5,13017.6666666667,20260.5,91167.25,53047.25,35363.3333333333,15944.5,3378.33333333333,1277.5,1936.66666666667,879.5,9725.5,4270.33333333333,49165.25,44461.5,10965.75,2356.75,6864,2768.5,6644.25,7397.25,96569.25,1724.5,4661.25,2883.25,7004,3293.25,6585.5,3692.25,18576.75,3271.5,2959.25,5859.5,9849.5,10923.75
"F7",0,0,0,985.75,0,4609,231.75,2193,7938.25,3127.33333333333,59259,8788,4425,4474.33333333333,3457.25,0,0,0,480.75,559.75,806.666666666667,14742.75,6874.75,2155.5,484,0,979.5,1049,1046.25,14832.5,0,150,0,1781.25,90.25,896.25,82.75,3058.75,0,242.25,2641.5,1805.5,1361.75
"F8A1",154908.25,26528,212941,14970,8206.5,47486.75,57830,109258.25,84297,60713.6666666667,84250,76924.25,58951.25,6232.66666666667,19604.5,30735,28591.25,27613,19918.5,141978.5,56740.3333333333,20243.75,40245.75,64346.75,47217.25,22574.25,67795,24479,43867.25,10251,50428.5,24455.75,52443.75,22182.25,26750.5,26180.25,17389.75,29869.5,33612.25,17538.75,12841.75,20828.5,23209.5
"F9",352,399.5,739.75,796.25,71110.25,84181.5,34920.25,22455,111988,30077.6666666667,15168.5,107641.75,53686.25,79226,30000.75,388.333333333333,531.25,222,281,115677.25,2898.33333333333,169802.25,54954.25,20954.25,3348,2160.75,6819,6124.25,16992,189792.75,914.25,5801,848.75,25407.75,609,2655.25,3777.75,43017,1151.25,7273.5,17881.75,23633.25,34541
"FAAH",0,315,0,0,0,0,12400.25,4611.5,26636.75,11699.3333333333,29537.75,19267,26097,0,891.5,1458,2522,2348.33333333333,0,59205.25,0,1625.75,12548.5,106137.75,501,1198.5,1864.75,266.25,816,133.75,1167.75,13622,3169.5,1856.5,2922.5,1404.5,1276,0,9309.5,3156.25,95.75,10698.75,0
"FAAP100",0,0,4497,0,0,23935.5,3831.5,0,0,4597,6614.5,0,0,0,0,20471.6666666667,4210.25,15152.6666666667,1087,0,0,6410.25,0,7648.5,0,9422,0,4455.75,1683.5,8697,11243.5,1870.25,3342.25,7770,2885,7084.25,3032,7907.25,4900.25,4823.5,0,29083,16118.25
"FABP1",8293.5,0,10662.75,4607.75,85486,4734.5,0,0,0,9296.66666666667,0,7531.25,0,0,0,3994.33333333333,0,1378.33333333333,0,0,0,0,3639,0,0,0,0,0,0,0,0,0,2376.75,0,1031.5,0,1873.5,0,3786,0,0,0,0
"FABP3",13196.75,1109.75,16178.75,4337.5,0,0,0,19015.5,0,0,889.25,0,1578.75,0,0,0,0,0,2320.25,0,12328.3333333333,0,1084.5,2054.5,14178.75,0,25370.75,0,16392.75,0,4691,0,1865,388.5,2312,0,1163.75,0,2864,0,8598.5,0,1514
"FABP4",0,0,0,1821,0,0,6230.75,3217.5,0,0,42848.25,0,0,0,0,0,0,0,13998.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FABP5",7956689.75,1306070,6309685.5,310109.75,2761503.25,2385941.5,819285.25,6650586.75,5640019,7069322.33333333,4444835.75,5658512,2578272.5,723115.666666667,791266,1716626.66666667,968487.25,2251816.33333333,189247.5,3237736.25,6752320.66666667,382193.25,3024559.5,3498166.25,7688035,571964.75,11640672.75,692482.5,8461710.5,417059.5,5087369.75,231612.25,6103249,372231,4347417.5,526230,2381698.25,361805.75,5806012,677448.75,336720.75,561592.75,581928.75
"FADD",375249.75,65772.75,490855,23864.5,9523.75,103100,89395.5,196021.25,134713.5,248869,188872.75,261927.25,190851,77509.3333333333,105669.75,212961.666666667,84643.5,222517.666666667,87020.5,862449.25,339584.333333333,131273.75,127187.75,115331.5,335730.75,180900.5,372023,174217.75,232611,99171.25,209587.75,130460.75,240592,132698.25,153357,157619.5,83204.5,153812.25,175372.75,150834,110645.25,144103.5,275174
"FADS1",1565.25,0,3335,0,0,0,0,892.25,1188,676,350.75,0,650.75,0,1363.5,41913,195,23315,437.5,7830.25,1389.66666666667,1551.25,689.75,542.5,1420.5,2422.25,2588.5,638,1456.25,1741.75,181.25,1125.5,496,85.25,1419.75,0,3198.25,3017.5,735.25,232,243.75,4732.5,6202
"FADS2",23770,0,43728.25,0,1361.75,0,58.75,2293,0,7133.33333333333,61.5,1675.5,757.5,0,0,187234.666666667,0,208729,147.5,2282.25,2672,0,2076.25,0,70103.75,0,68991.25,0,76763.75,242.25,4572.75,0,16971.75,149.75,28071.5,0,59498.75,54.75,38320.25,0,0,0,0
"FAF1",87706,21535.25,150617.5,7496.5,14790,23537,14787.75,62779.25,85228.75,39030.6666666667,58362.5,90916.75,48837.75,6106,34329.5,55521.3333333333,34167.25,51647,26045.5,12517.5,79385,23033,16762.75,42447.25,71677.5,30595.25,90502,36172.5,60501,18611.5,65937.75,22379.25,54514,27720.5,48980.75,34467,35401.75,32458,62512,27648.5,23046.5,28841.75,40384.5
"FAF2",137668,39438,156142.25,31144.75,28744,41996.75,13719,114637.75,117750.75,81821.3333333333,73024.5,147928.5,153274.75,6451.66666666667,59453,118248.333333333,76290,136064,69751,275819.5,103588.666666667,40879,98785,115247.5,108718.75,78917.75,119412,83054.5,99565.25,44022,72475.75,62955.25,96192.5,61272.75,104969.25,74349.5,85733.25,69265.5,96454,58685.5,45697.5,72423.25,73190.75
"FAH",162052,4961.25,203127,812,1141.5,179321,122321.75,242240.25,193066.75,590725,474443.25,503244.75,266276.25,11811,20368.75,262283.333333333,33578,350767.333333333,38552.75,945085.25,409148,9648,80732.25,91690.5,620672.25,24631.75,907015,43344.5,528286.5,33998.25,223503.5,20345,316659.5,21810,308302.75,44537,106197.25,38336.5,190436.75,19068.25,18912.75,23035,19686.75
"FAHD1",150274.25,78381.5,180499.25,56837,7212.25,40329.25,37308.75,188444.75,120058,150522.333333333,135147,251098.5,313656.75,53262.3333333333,97760,73500,151761.25,97011.3333333333,92151.5,147442.5,133222.666666667,81991,147622.25,156294.25,112674.75,138249.75,180963,150590,125637,76896.25,91139,78047.25,158551.75,158297.5,111767.5,162001.75,57414.25,135943.75,92431,170580.75,102084.75,144512.25,145841.75
"FAHD2A",100047.5,42430,98735,12407.5,32335.25,18025.5,8523,83336.25,111425,73270.6666666667,88465.75,153765.5,112217.25,21217.3333333333,44413,90851,71018,73323.6666666667,33200.5,3083.5,106702.333333333,25336.5,79978,132600.25,83257.75,43728.75,138294.75,47594,91175.5,27933,101900.75,28392.5,99219.75,47608,86817.75,57934.75,41652,48152.75,89870.25,54958.75,31087.25,44362.25,40236.75
"FAHD2B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3377,0,1886.25,0,0,0,1116.5,0,0,0,1407.25,0,0,0,0,0,650.25,3091.25
"FAIM",46645.25,0,63202,0,19359.25,0,0,13332,0,26459.6666666667,20476.75,0,0,0,0,4604,0,0,3998,0,1873,0,0,1525,0,0,5416.25,2090.25,3438,0,0,966.5,3854.75,0,0,0,0,0,2710.75,0,0,0,0
"FAIM3",8923.5,700.25,2361.5,1435.75,178,581.25,1534,0,908.75,21633,834.5,0,1045.75,0,641.25,0,204.5,0,337.5,0,6145.33333333333,624.5,4576.75,3499.75,3840.25,0,709.75,0,159.5,444.75,0,144.25,0,0,162.25,110.75,0,560.25,719.75,201.75,511,0,0
"FAM101B",6700.5,476.25,5863,0,0,469617,105301,17639.5,24958.25,14121,161183.75,117859.75,81846.5,0,14001.75,56188.6666666667,26044.75,31013,16473,261091.75,36399,24504.25,19239.25,44810.75,12227.5,24286.75,12878,37471.5,16523,14064.75,49959.25,42094,10406.75,14611.75,12414.75,20430.75,5372,15767.75,23370,33425,15797,17697.5,22579
"FAM102A",791,0,470.75,0,0,875.25,3265.25,0,2047,1983.33333333333,0,8442.75,4122.75,3329.33333333333,19405.5,1394.33333333333,1191.5,1519.66666666667,1233.75,0,20088,7469.5,817.5,6554.25,0,19762,0,13986,1338.75,1799.5,7090,19245,2593,16699,1904.75,8715.25,0,114.75,5075.5,20631.75,12609.25,16812.25,15290.5
"FAM102B",0,4457.75,0,1681.5,0,15767,2380.75,0,11706.75,0,8962.25,13978.5,9008,0,4518.5,13900.6666666667,5803.5,1642.66666666667,1994.25,3641.25,0,1666.5,0,3299,0,3234.5,0,4802.5,640,4582.25,2667.5,729.5,4302.25,532.25,0,1815.75,2518.75,4961.25,0,1124.5,1264,2587.5,2069
"FAM103A1",75677,66453.75,125696,26387,13558.5,48745,16708.25,57285,48088.75,6394.66666666667,66474.75,124025.25,77248.25,14080.6666666667,31585,38578,15700.75,31350,19631.25,0,61051,35793.75,27044.75,46750,104852.25,22853.5,103287.25,19485.5,60841.75,34504.75,52093.5,24811.5,75604.5,24091.25,52208.25,37823.25,31287.5,48293.5,68211.5,23871.75,30898.5,20168.25,64178.75
"FAM104A",18201.25,15594.5,10723,1252.75,504.25,1707,2979.5,13675.75,0,4354.66666666667,9959,25270,11248.5,15492,8488.75,3131.66666666667,925.75,2734.33333333333,1092.75,3531.5,20462,476.75,4475.75,7584.25,12669.75,4163.5,10645.5,1617.25,5795.75,0,4113.25,1219,7591.75,545.5,3443,2325.5,639.25,2982.25,3706,565.25,3896.5,3927,3176.75
"FAM105A",2154.75,1272.5,1897.25,452.25,0,6854.75,2702.25,54409,182849.75,99931,230839,269080.75,382961.75,0,50076,6231,81160.5,18839.6666666667,20999,142603.75,6462,55692.5,44025.5,208167.25,2868.5,10891.25,515.25,8440.5,1861.25,8646.25,6216.25,20788.75,3923.5,20232.25,5807,17536.25,5801.25,28725,8579.5,28090.75,22789,14916.25,15328.75
"FAM107B",1686736.25,682359.5,2073280.5,403831.75,383604,409761.75,632199.25,617661.25,393537.5,816293.666666667,416865.75,787891,337103,320932,707425,279354,391619.75,344942,548999,2871084.5,1022495.66666667,508207.25,187643.75,217588.75,1287171,719962.5,1320105.75,669700.25,1350227.75,634534.25,659405,574512.75,537043.5,579309.5,470411.5,685894,237108.5,541712.5,498172.5,521628.25,636233.5,577893.75,851401.25
"FAM110A",12324.25,0,17351.25,0,0,69666.75,0,0,0,0,0,6493.5,12899.25,0,0,0,0,7332.33333333333,0,0,7163,0,0,1745,9282.25,0,8422.75,0,3445,195.5,10398.5,0,5634.25,5495.25,12674.5,3441.5,12990.5,0,16642.25,3557.75,2499,0,1029
"FAM111A",31315.75,4261.5,51620.5,3082,4216.25,10966.25,22248,2963,8340.75,6460.33333333333,12158.25,10323.25,11085.5,0,14214.25,32662.6666666667,12893.75,13917.3333333333,10287.75,67191,35506.3333333333,2825,9312,13924,20876.75,9449.75,27072.5,8837,19983.75,3861,17988.5,5745.25,17259.5,4816,21758.75,10907.75,17293,10081.5,16418.75,6875.25,10685,10452.75,7743.75
"FAM111B",36698.5,20732,46603,815.5,0,2779.25,3219.25,47304.75,45225.5,11324.6666666667,12419.75,10575.75,16181,2080,5103,14919,10057.75,12956.3333333333,3552,895068.5,14277.6666666667,6659.5,31480.5,57078.75,13224.75,3315.5,21198.5,6648.25,10963.25,4211.75,3079,1838.75,8221.75,1737.25,7682.75,2970.75,7088.75,5810.25,5135.5,1992.25,451.5,3140.75,1069.75
"FAM114A2",114198.25,74990.25,159300.75,41670,20830.25,36326.25,81713,107565.25,103403.75,125728.333333333,90339.25,200130.75,130007,13523,51983.5,99418.3333333333,55584.25,64728.6666666667,56243,134729,96047.6666666667,35914.5,82600.25,145052.5,96914.75,55252,108443.25,62135.25,74322,30197,63540.25,43541.5,80479.5,55093.5,65522,61464.25,35544.75,55065.25,68002.75,57890.5,38926,53369.5,73024.5
"FAM115A",7323,1297.25,10154.75,1191.5,0,455.5,3294.5,6725.5,2499,2374,6770.25,1181.25,3787.5,0,1233,15392,3640,8433,4689.75,0,2590.66666666667,945.5,5869.5,4792.25,9483.25,1444.5,24588.25,2901.25,10058.25,3956.25,3827.75,929.5,4857.25,3843.75,6835.25,3361.75,2934.75,5725.25,6069,1398,1485.75,1957.75,848
"FAM115C",55335.25,2141.75,28905,760.25,470.25,419.25,1935.25,8092,3049.75,1105.33333333333,1694.75,3032.75,685.25,18440.3333333333,50163.75,19766.6666666667,8830.5,29951.6666666667,5084.75,18623.25,288044.666666667,23803.25,4919,1659.75,259434.75,27047.25,267847.25,38670.75,194330.5,5560,102702.75,27230.25,153983,32333.25,107626,20899.75,30905.75,11858.75,97202,24715.25,22007.25,24304.75,21284.75
"FAM117A",4356.75,861.75,5021.75,0,0,5876,4978.75,1342.5,3579,0,34011.25,1412,0,381.666666666667,4506.75,2172.33333333333,2941.75,2827,3065.75,0,14809.6666666667,2654.25,0,1565.25,10811,6463.25,19964.75,5408.5,9103,4401.25,13529.75,2880,11786,5859.75,10586.5,7277.25,4807.75,2464.75,11566.75,3536.5,3951.75,7279.25,6510.75
"FAM117B",3833,4550,2652.25,1141.25,0,109.75,0,1373.5,10080.25,0,3340,15136.25,12525.75,0,437.5,0,744.5,0,1923,17920,3015.33333333333,1329,0,3533.75,1971.5,1346.75,2157.75,1227.75,3125.75,0,7007.25,2663.25,1922.75,1016.75,396.5,475.25,0,0,8121,5610.25,838,677.5,1185
"FAM118A",10624,5510.5,12182.75,4613.75,0,535.75,282.5,21358.75,18996.75,8853,10099,14216.25,12942.5,0,5579,0,1075.75,0,1228.75,0,9396.33333333333,2580.5,13612.25,11110.25,10310.5,11883.5,10935.75,9180.5,9294.25,1864.5,4816.5,5877.5,4275,6026.75,2048.75,7155.25,1930,7125,1680.5,7953,1696,5112.5,4423.25
"FAM118B",10672.75,1740.25,13894.5,631.25,6972.5,3689.75,528,45295.75,46264,11054,16476.75,48596,44435.75,712.666666666667,2716.25,4026,4434,8686,2236.5,15838.25,3936,1638.25,17280.5,19037.5,12832.75,1871.25,12852,1294.5,14914,1811,1413.5,1057.75,7646.5,2674,7144.5,2637,3147.75,3697.75,4689.25,2739.75,1508.5,2303.5,1768
"FAM120A",154909.75,92746,197452.75,63968.75,62684.5,89977.75,64489.5,227410.25,280160.5,228062,210939.75,371215.25,283326.75,58475.6666666667,128775,175857.666666667,138393.75,148103.666666667,106301.75,125822.25,310418.666666667,97436,143459.75,234718.75,246580.5,120840.75,301943.5,119758.75,208954.75,95138.5,213207.25,95781.75,167541.75,115450.5,171134.25,130831,116079.75,141209.5,161199.25,92890.5,90905.25,111292.25,108159.5
"FAM120B",35077.25,14942.5,49248.25,11916.25,12204.5,8226.75,3913.75,11119.5,16039.75,16048,17889,50694.25,27543.5,0,22207.75,18885.6666666667,30322,14293,18180,92052.5,62269.6666666667,23418.25,9659,27354,45176.75,24355,43823.25,25216,35021,11555.75,24522.75,32001,24466,22332,18377,21599.75,11933.5,19399.5,23090.75,30644.25,21700.5,20048,19990.75
"FAM120C",3175.25,515.75,3945.5,1373.5,0,705.25,111.5,1582.25,2438.25,0,1857.25,1524.5,1029,0,1357.5,1217.66666666667,2634.5,2691.66666666667,1234,2697,503,1573.75,427,4948.5,0,1216.75,188.5,1325,679,241.75,186.5,2382,1649.5,1658.25,0,1696.75,698.25,1724.25,604.75,3612,722.25,1252.75,1167.75
"FAM122A",0,8388.5,1537.25,3206.5,70283.5,0,0,0,4306,0,1656.5,2125.75,7355.75,0,2323.5,0,1761,1468.33333333333,1578.5,0,13926.3333333333,3473.75,8788,10179,4900.25,2419.25,0,3377,6379,1553.75,738,3784.75,3045.5,2501,704.25,4494.75,2118.25,3081.5,0,3389.5,6857,3556,5395
"FAM122B",1651.25,2402.5,1868.5,1585.75,0,0,0,0,1150.25,0,5323,2692.75,0,0,1974,0,3160,1134,615.25,10590.5,0,2411,0,6198.25,7836,2955,3532.5,3108,2309.25,365.25,4198.5,1160.25,3749,2493.5,1981.25,2664.25,1601,3222,494.25,2618.5,459,1613.5,2641
"FAM126A",18371,10883,37889.5,18199.75,3437.75,22950.75,17811,6785.5,21573.25,109160.333333333,30087.75,63694.75,51931.5,11280.6666666667,7272.25,20988.6666666667,12776,11695.6666666667,8008.25,39318.25,23857.6666666667,5803,56533.75,42148,13116.25,5328.5,11045.25,8483.5,14424.5,12538.25,52017.25,4451.25,9482.5,4121.25,10746.5,7635.75,7634,8710.5,10323.5,4324.5,4222,4935.5,3580
"FAM126B",0,5114.25,0,2455.25,0,12359,2311,0,3225,3610,4749.75,9907.75,10554.25,0,3184.25,1182.33333333333,5231.75,2568.66666666667,1869.75,9860.5,0,592.5,2622.75,7705.25,0,6380.75,0,7144,2261.25,3049.5,4345,5430.75,3728,5749.25,5351.5,6980,1034.75,6305.5,3153.25,8101.5,5172,6846.25,8303.5
"FAM127A",12112,828.25,23981.25,0,0,1444.75,1253,4297.5,0,0,0,0,0,0,3698.75,13094.6666666667,6363.75,10121,640.25,0,26895,2846.75,6030.5,8174.25,21297,3432,26076,3084.25,9758.75,2260,11092.25,2278.25,19941.5,6425.25,11703,4297.5,6835.25,6587,24909.75,5332,4094,3765,4150
"FAM129A",129659.25,29114.25,140114,1069.75,84573,501516,361532.75,880819,468552.25,433997,301243,404213.25,206643.75,172427.666666667,295062.5,176329.666666667,169464.25,215302.333333333,92249.5,1424360.5,109985.666666667,60909.75,137969.5,51152.5,111995.75,127726.25,200304,247069.75,129635,154656.5,25681.5,467.75,101862.75,168939.75,180609.5,242105.5,244584.25,205261.5,19052.5,1439.5,97731.25,164956.75,185605.5
"FAM129B",45.5,568,0,0,627.75,42485,2043.25,176538,138078.75,442787.666666667,331100.25,428717.25,215293.25,1336,13094.25,232334.333333333,1178.25,129047.333333333,1161.25,14710,119910.333333333,11028.5,1123.5,762.25,61495.75,16286,81321.75,36339,30512.5,7256,25967.75,4650.25,28887.25,16432.25,22239.25,20771.25,756.25,24487,23791.25,6226.75,6587.5,19141.5,8108.25
"FAM129C",196609.5,128436.75,224912,75620.25,249,1282.75,0,1516.75,2074,2984.33333333333,2459.5,2147.25,629,306.333333333333,3398,1378.33333333333,6780,835.333333333333,462,94842.75,411.333333333333,4839.75,155258.5,779710,914,1299,708.75,834.5,2425.5,1302,1322.5,4384.75,1152.25,1907,1065.25,6285.25,2896.75,3775.25,1187,2134.75,2583.5,2219.25,3981.75
"FAM133B",22797.75,8714.5,29776.25,4628,469.5,2743.25,4136.25,4076.75,1289.25,8356.66666666667,0,0,0,1449.66666666667,5958.75,2352.66666666667,6497.5,7934.66666666667,4864.5,0,0,7436.25,5712.25,7567.75,12916.25,6657,12516.25,4709,12537.75,5034.5,12900.75,7180,11834,5494,6400.75,7241,5191.5,9174.75,9275,7802.75,4798.5,7468,14208.25
"FAM134A",7582,4740.5,9020.25,2028.5,0,5767,860.5,10325.5,12823.25,6045,10152.75,14704.25,21606.25,0,4787.25,1519,3604.75,4059.33333333333,5017.5,26443,10833,2825,5563,7083.75,10626.75,6663.5,8131,4927,9663.75,1700.25,4835.75,7145,6322,2440.75,6416.5,7184,9460.75,5492.75,5284.75,5899.75,3050.25,6362,6103
"FAM134B",0,0,1162.75,0,0,2038.25,0,6372.5,2377.5,14474.6666666667,0,0,0,0,2745.5,0,1215,0,763,0,0,1211.5,1319.75,998.5,2763.25,548.75,0,2156.5,1690,1542.25,10635.25,1496.25,2700,1010,3888.25,0,0,0,10204.25,1507,2084.75,925,419.25
