"","Bmem_A","Bmem_S","Bnav_A","Bnav_S","Bplasma_S","BSph_S","ESph_S","mDC_A","mDC_S","MOcl_A","MOcl_S","MOim_S","MOnc_S","mTregs_A","mTregs_S","NKbri_A","NKbri_S","NKdim_A","NKdim_S","NTph_S","nTregs_A","nTregs_S","pDC_A","pDC_S","T4cm_A","T4cm_S","T4em_A","T4em_S","T4emra_A","T4emra_S","T4nav_A","T4nav_S","T8cm_A","T8cm_S","T8em_A","T8em_S","T8emra_A","T8emra_S","T8nav_A","T8nav_S","Th1_S","Th17_S","Th2_S"
"ZBTB10",1069,1063,0,0,222.25,970,407.75,25964,2852.25,0,27152.25,14459.25,1839.25,1446.66666666667,1006.25,1940,2371.75,1917,1185.5,11271.75,0,2093,50715,4202,0,58.25,0,685.25,1821.75,1799,3169.75,194,299,2033.5,1585.75,0,0,0,860.25,1539.5,1412.75,156,0
"ZBTB11",4432,8908.75,8576,7412.75,11651.25,7089.25,26293.75,9055.5,8654.5,4087.66666666667,13030.25,43134.25,7444.25,4897.66666666667,5474.25,23626.3333333333,7486.5,10481.6666666667,8913.5,36384.5,11644.6666666667,6035,7816,6560.5,6584.25,4796.25,9833.75,4858.25,12704,4477.5,4325.25,6966.5,23815.25,6670.75,11168.75,8274.25,8335.25,6550,9690,3757.25,5018,5771.25,6377.5
"ZBTB14",9125,6604,13796,8889.25,2144.25,3244.5,10738.75,3451.75,14557.5,0,8542.75,4000.25,4172.5,5666.33333333333,7687.75,4426.66666666667,8465,1110.33333333333,6598.25,22469.25,6187.33333333333,9606.25,4194.5,8598.5,7250.25,13465.5,6758,10665.5,5910.75,8070.5,5777.75,12558.75,8148,6647.5,5217.5,6804.75,4069.75,11729.5,3694.75,6276.25,6176,8958.25,13744.5
"ZBTB16",0,0,0,0,0,532.5,0,2958,0,0,5050.5,12473.75,4206,2908.66666666667,2028.75,1381.66666666667,2190.75,4476.33333333333,4813.75,0,0,0,1205.5,0,6699.25,4849.25,3839.75,6634,0,45,2397.5,3952,2828.25,2053.5,4859.25,3347.25,6134.25,1557,0,4841.25,1167.75,7843.5,5575.5
"ZBTB17",2685,2615,5915.75,1100.75,246.25,556.5,140.25,4881.25,843.75,5828.33333333333,16597.5,0,841.75,12034,2484.25,425.666666666667,3372.5,2458,1396,5823,13489.6666666667,2081,477.5,2258.75,1678.25,2051,2612.75,1492.5,1012.5,208.75,2480.25,2825.5,8395.25,1543.25,3442.25,2516.5,1673.75,1523,3447.75,2323.75,4119,2016.25,1970
"ZBTB2",6737.5,4542,12102.5,4039,12407.75,5437,1728,6029,6932.25,0,9695.75,9369.75,15114.75,973.666666666667,7779.25,7282.33333333333,9925,8709.66666666667,6511.25,0,3211.66666666667,4968,3975.75,6736,7339.25,5502.5,9804.25,6265.25,6797,3687.5,6432.5,7442.25,2076,7208.75,7624.25,9245.5,5338,10830.5,4912.75,6789.75,6974.25,5357.25,9700.75
"ZBTB24",6049.75,1521.75,9553.5,1217,106.75,1098.5,150.75,4010.25,3673.75,1975,133.5,6063.25,1117.75,0,1970.75,910.666666666667,1362.75,148.666666666667,712,0,2916.66666666667,1827.5,2436.5,2540.75,4456.75,670.75,2243,1167.25,2861.75,839.5,1093.25,1733.5,1792,1781.75,897.5,690.25,438.75,982.75,939.25,768.75,737.5,1182.75,2357.75
"ZBTB25",15354.5,0,10730.5,0,6013.75,2301.25,1469.75,10026.75,1068.5,25015,3874.75,538.75,128.5,2772.33333333333,1306.25,2249.33333333333,1735.75,7935,4116.5,12329.5,12328.3333333333,320.75,4084,0,25738.75,1213.75,38298,1546.25,56698.5,2067.25,8659,1121.75,17823,833.75,5422.25,1871,10003.75,1516.75,989.5,462.5,0,2818.25,4740
"ZBTB3",0,0,0,0,0,0,0,842.75,0,0,0,0,0,0,938.5,0,675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1658,0,0,0,705.5,0,868,0,1131,0,700.75,0
"ZBTB32",10249.5,3318.75,0,221,2981,0,8773.5,19334,0,0,0,312.5,0,0,0,2060,0,2843.66666666667,0,0,15872.3333333333,0,3121.75,0,7646.5,22636.75,19843.75,0,14368,0,1991.75,0,4902,1476,7442.75,0,4739.75,0,3089.75,0,0,0,619.5
