"","B_CELL_NAIVE","CD4_NAIVE","CD4_STIM","CD8_NAIVE","CD8_STIM","M2","MONOCYTES","NK","TFH","TH1","TH17","TH2","THSTAR","TREG_MEM","TREG_NAIVE"
"NR4A3",8.88734167523155,1.81657872748459,2882.67969884706,3.2868071298513,2086.44926917314,1.6389759978307,56.8812662543747,5.59622265677115,5.50922884359463,5.46020472105204,7.26198497584113,12.2474681317797,6.88002079194708,5.07118871848321,2.39560956852338
"CCL5",1.63510214475225,16.748023630522,11.3381803219993,275.730830696714,208.049991010048,9.30762661592692,6.97565949755547,6197.02017028419,212.586652006512,2355.63977488587,21.0380623108617,80.6643879772366,1102.92473222237,84.378680088401,18.5229025050678
"CD2",0.277904606017255,437.281040633816,1526.6781814552,361.248612462327,1801.38003691922,0.972971439068914,3.34522680557358,372.845161449505,686.396079387336,671.067542095894,653.495209707423,521.363499096567,668.39044445374,749.032135616269,415.673171614904
"CD4",0.179039186878508,252.443721659883,45.7220443895245,1.56493474570646,0.145054049122358,304.79474155559,344.066148245651,1.3178566133702,399.390429315317,358.378959448615,320.766782457962,328.654025021933,266.47518800824,397.759476846462,248.989925078577
"FAM49A",130.697833753606,3.37034528170854,3.150546613825,2.86731553186273,1.39244603366995,624.511823622352,345.563646687415,208.242487174867,1.44142501884002,4.88941302287782,0.0618312226461798,0.175710429398992,0.704615479573997,1.38471127969836,1.66800791099765
"TNFRSF9",0.110389917883292,0.227594405398524,609.136252512706,0.271740437609413,1146.21886531777,0.241458375195448,5.98397002037057,7.09574487596911,0.426110927550038,0.422700946700077,0.171162420648538,0.509104231775548,0.13830399507875,29.587363791937,1.1083594845838
"MAL",0.081735839899717,328.617063197456,61.1552719466667,236.261090933125,41.6819730666186,0.108927358503314,0.144501137529389,0.415242178184076,379.941909671096,230.062566480076,305.418792812942,279.685460187,177.468829247314,257.957451671058,334.659065499952
"SPI1",51.1932039227208,1.62239794912784,0.668765188953787,1.67253563758873,0.571284918930324,828.723745044886,674.723027857604,4.1481415489748,3.27600005168635,0.135552351582584,0.102538760301462,0.152334699637517,0.0545111668773567,4.01219294260524,2.12781140515023
"S100A8",1.53004474553142,13.9730859692561,0.93831082415251,10.3887374273242,0.953920840467941,62.72610159096,6096.89219922934,6.3258813563729,12.4183179901114,0.382483014184452,0.314287445647375,0.925802882110861,0.308641030145096,14.6407521858236,11.9005264745116
"LEF1",1.12137815921597,617.891330136738,308.185396744618,550.971326774231,312.162006236706,0.319788412987797,0.248868021627259,7.71595587281076,311.472129074067,186.269808039406,236.048810271125,306.825702842625,132.290217148353,312.401629092712,669.311742121712
"CSTA",0.577405571281189,3.82185078946124,0.594881682919451,2.77011194245738,0.484833571615216,461.095989374543,1445.38946695009,2.51973455161078,3.040792675588,0.133413264075971,0.130233717752644,0.296637199402135,0.142541752319173,3.4530807498223,3.39423459606338
"CCR7",228.849700629199,545.298361185971,656.820491797539,588.587810773481,1501.43196957167,0.29981896017506,0.376959282184124,1.19082794215473,384.231720969298,191.485103894612,153.143604748458,182.872299466797,89.1060831857356,149.314199402797,503.897590049596
"SCIMP",271.472227388189,4.42732285968978,0.863198179491833,4.57897297123675,1.04509944927014,790.700090033791,360.382250215047,30.7007167615511,2.89606219763124,1.11347027020603,0.892191236605808,1.12743165309527,0.982513821262654,2.51906351006972,3.1448009770057
"SH2D1B",0.0810193009328113,1.00997742129774,1.06619452117042,0.823357937245654,1.02284032366813,345.19952032881,0.491301801014893,1353.42153421578,0.57179863464625,0.00723249950968269,0.00539519172759615,0.0323232348782115,0.0889810465911154,0.621570125462623,0.83261769599824
"CD5",10.9976707514365,423.79929611499,513.323368700598,343.58288889724,478.985789617912,2.31861254054776,1.75830264950064,2.7807639231994,971.876918631885,626.896672598288,673.681322013587,799.327625479558,389.186288986288,820.470455002683,431.882063581875
"PIK3AP1",291.774753568802,2.13243453177103,2.30282772925382,2.93573058258137,3.17584581981343,812.194786447152,226.020236322066,241.338694358095,1.53648568515362,1.94634488833131,1.33796793278882,7.67171806139394,4.25498630586933,5.19569118516904,2.74938949836814
"ITGAX",2.77174864101024,0.797291615205476,0.692773900866255,1.05384141303152,0.773602877329324,440.938097488448,202.604897670047,239.859372035606,1.22088724027498,0.221293107449894,0.107573698711547,0.0915864031816971,0.0785957126547779,1.46968130665099,1.03957722875529
"ITK",0.122124745063194,346.28594093034,594.037453623235,318.376015004279,548.797512701314,0.415389756343017,0.236140161292442,103.816631775082,259.375883081596,226.427263668779,258.317550590875,289.395490752529,209.984359085596,240.434644542663,294.211924555058
"GEM",2.39296551045319,2.54804297661314,1370.30347686714,3.39439093082741,696.982886327137,0.103001585489564,1.05078509762367,0.43084445925105,1.76297386081418,1.22129278606056,1.74848622366234,1.64852341160443,0.657972825079876,4.82338181887856,1.60013741621383
"C5AR1",1.33201318232593,5.09518832810709,1.95236926888484,5.23550370202683,1.65636283259621,1019.89106760696,1274.45678459825,4.4869217382026,5.33770342359862,1.58218173272903,1.09254392470639,1.71551888786028,0.833289012967551,5.55861351956521,5.53497655931481
"NFAM1",6.07603903832491,1.67229206727114,0.129119056690273,1.68730419968529,0.103324214690902,529.546689193448,833.429063834085,2.05464222975379,3.08424554644465,0.210344207695663,0.329471378025615,0.364558786103596,0.196579966947235,3.68219720553137,2.14647555940988
"C14orf64",0.0870929528795189,527.676606173796,60.4832399133265,401.712406653596,55.0492167871108,0.206874225645562,0.212165076480179,1.73535858691282,259.325201856106,173.694208184668,165.727916166865,207.782702146087,115.103380635734,130.640965570758,324.53874334176
