"","Adipose","Adrenal Gland","Artery","Bladder","Brain","Breast","Cervix","Colon","EBV-transformed lymphocytes","Esophagus","Fallopian Tube","Heart","Kidney","Liver","Lung","Minor Salivary Gland","Muscle","Nerve","Ovary","Pancreas","Pituitary","Prostate","Skin","Small Intestine","Spleen","Stomach","Testis","Thyroid","Transformed fibroblasts","Uterus","Vagina","Whole Blood"
"CTSZ",279.287343631495,171.45,379.562353754779,203.3,58.8192851046958,243.65,190.134978483793,236.012615697984,282.1,139.903207676071,174,113.889268428344,146,243.2,451.8,291.8,42.825,215.1,148,58.615,200.9,171.9,90.8606226845867,310.8,433.3,104.2,55.52,269.45,346.4,191.2,140.8,316.8
"TXNDC5",147.172703289101,93.575,165.671011925822,118.9,19.4537638516966,140.5,221.243762567141,104.420785426784,293.55,82.0853169406237,149.7,40.2280875132476,59.28,105.7,167.4,267,19.36,125.2,188.9,112.35,96.05,99.115,55.1424972725653,147.4,373.9,118.95,39.78,115,382,156.6,119.3,20.37
"SNCG",139.012249464109,241.5,158.140809608851,270,127.793906010532,100.95,45.164120266718,21.474920467045,0.2796,27.9031084247268,64.56,11.9579049232505,12,1.386,19.55,16.15,5.908,110.95,47.43,2.151,10.13,40.42,30.2055956520621,13.39,73.21,8.0255,7.662,30.75,8.777,40.32,37.83,0.4176
"PTGIS",58.410825612846,5.0155,217.030476450687,207.2,0.758044160810364,40.76,59.4608832221297,38.2844180305627,0.12345,40.2096303453051,193.6,17.314721128098,2.511,3.466,30.2,12.03,2.865,25.29,81.54,1.562,1.469,28.73,10.9053895358363,7.815,0.50465,6.434,8.571,13.93,5.804,210.1,26.42,0.1384
"NKG7",9.86854866115987,2.205,3.84458668048354,4.772,1.32410550728889,6.7895,4.65106644802554,2.41259051162017,9.3975,2.15633020691121,5.647,2.14921450523777,3.491,9.565,54.51,3.306,1.0335,4.7125,1.418,0.6447,3.534,5.1255,1.48992851303004,9.695,174.85,3.321,1.805,7.3625,0.1128,4.113,4.823,516.1
"MYADM",130.847866876943,18.53,230.456696766016,129.7,13.648978626043,102.1,158.562996963582,130.889158007776,19.15,93.3992289310731,267.5,45.9214268751495,12.19,10.3,136.6,49.73,9.5785,73.57,91.51,14.36,23.37,75.25,49.3642373118069,50.83,38.63,47.37,47.82,57.065,171.3,271.2,82.95,138.8
"TSHB",0.0782299040557168,0,0.526067486659003,0.4051,0.0156656753248789,0.0785149999999999,0.163638668144025,0.429230375062047,0,0.297135272723196,0.4155,0,0.0905899999999999,0,0.1174,0.0819000000000001,0,0.074675,0.0817399999999999,0,657.4,0.2138,0.0343161992350307,0.1509,0.093885,0.1243,0.8772,0.0295700000000001,0,0.9192,0.1069,0.07223
"DPYSL3",58.2265801815368,6.853,204.118568410671,249.7,39.4570175359975,51.97,130.920961185097,110.159830874287,0.29075,127.121309994542,141.2,19.5164997014598,5.527,1.318,73.3,28.28,31.475,52.44,151.1,2.1125,16.65,128.25,29.4001513154129,33.75,27.705,14.365,29.15,37.465,34.94,175.4,81.18,0.2763
"PLEKHA4",37.5567542721117,22.29,55.9626047110483,21.43,3.33804095938936,44.805,38.1068938935324,29.45,4.5725,28.0052701805175,51.4,16.5676606296911,12.46,13.52,33.06,17.36,10.35,717.6,67.17,5.119,34.59,31.195,19.0227121040083,13.32,17.765,11.915,14.91,45.775,30.45,54.87,25.59,0.6458
"RPS28",609.622485665243,432.75,486.192818247034,574.5,255.078575805021,706.15,751.945011272403,467.926795992722,1186,488.288647100135,615.2,238.880657828013,361,305.3,588.6,580,311.4,539.75,1155,490.45,564.9,662.75,976.351871129329,487,839.5,501.35,239.6,698.85,882.6,696,843.6,309.4
"WSB1",159.506931314507,70.27,259.796183779957,184.1,75.9269645421649,166.6,309.624322936888,133.394698556156,223.85,140.02284048948,223.1,56.5815465231701,109.2,28.75,303.8,87.56,36.385,361.6,256.1,45.44,177.6,181.4,77.9223643842479,107.4,282,86.735,102.7,183.4,133.2,283.4,199.3,51.92
"UPK1A",0.350610287980956,0.06521,0.113621045911751,624.8,0.209791615692989,0.41125,0.607903952355364,0.168388291622267,1.091,2.41361106852068,0.3376,0.0448181969127452,0.2587,0.1396,0.2166,0.1281,0.0270049999999999,0.19465,0.2053,0.0507200000000001,0.1996,7.1765,13.0039994287346,0.1299,0.2496,0.0999699999999999,2.11,0.1752,0.2526,0.3227,57.9,0.102
"STXBP2",20.9223139745785,26.445,8.81361587169251,59.47,4.248818972841,35.8,10.7151662386839,21.2486126533768,95.81,16.0542167204967,38.73,3.11139100548707,58.3,26.92,128.1,103.3,1.08,10.905,8.126,49.07,45.78,87.135,67.2297618345543,97.97,179.35,78.86,137.1,93.24,7.014,7.265,58.1,402.2
"CALU",87.188958492546,47.02,200.624533067253,112.8,16.5367139572072,68.76,107.145827473833,88.6732513071763,46.07,81.6080781008031,90.17,76.5703686983632,20.4,19.91,104.9,57.84,31.96,96.135,74.2,22.36,42.43,80.985,35.8320105343165,32.79,44.575,39.925,30,77.93,644.5,134.5,73.97,5.76
"MMP25",2.24054393582312,0.4119,0.795353959004589,0.8335,0.575685208212623,2.011,1.21050333634672,1.07461818173851,0.8297,0.869512581670042,2.905,0.983103023042424,0.9773,1.972,26.31,1.513,0.36615,0.93355,0.5004,0.72035,1.351,1.677,1.12045042384867,4.755,139,1.0965,0.862,2.249,0.2616,1.348,1.404,537.2
"IGHG4",6.27842393654011,0.6205,1.5113154550587,0.4307,0.201541691706118,1.605,18.2786737095683,3.52636360669357,2.7345,2.61879540617872,26.23,0.294541756761828,3.021,16.29,21.91,5.63,0.1123,1.4175,1.704,0.3226,0.7705,3.102,0.259595292147442,39.61,647.7,7.7205,2.53,17.835,0.1262,3.192,5.593,6.281
"MMP9",8.72627112515377,0.42945,1.45265922717478,0.7357,0.326839612374709,3.0975,0.733663026657718,0.900157151395642,5.0425,0.537430037535093,2.532,0.77750784808394,0.9239,1.165,23.18,1.182,0.3419,0.6541,0.4739,0.18955,1.192,0.7162,2.43764919676223,3.999,126.4,0.8544,2.732,2.1735,0.6276,0.8697,0.9972,549.6
"CALM3",149.09077253449,189.75,364.146266330435,246.5,641.116788413645,152.6,329.890548369094,210.472220397857,415.6,165.29926950215,225.1,136.572744393648,147,68.98,189.6,83.34,136.45,267.6,306.1,63.51,167.2,202.3,97.6913370058386,188.5,162.95,128.55,500.4,188.05,377.9,314.1,220.6,159.5
