"","A-431","A549","AF22","AN3-CA","ASC diff","ASC TERT1","BEWO","BJ","BJ hTERT+","BJ hTERT+ SV40 Large T+","BJ hTERT+ SV40 Large T+ RasG12V","CACO-2","CAPAN-2","Daudi","EFO-21","fHDF/TERT166","HaCaT","HAP1","HBEC3-KT","HBF TERT88","HDLM-2","HEK 293","HEL","HeLa","Hep G2","HHSteC","HL-60","HMC-1","HSkMC","hTCEpi","hTEC/SVTERT24-B","hTERT-HME1","HUVEC TERT2","K-562","Karpas-707","LHCN-M2","MCF7","MOLT-4","NB-4","NTERA-2","PC-3","REH","RH-30","RPMI-8226","RPTEC TERT1","RT4","SCLC-21H","SH-SY5Y","SiHa","SK-BR-3","SK-MEL-30","T-47d","THP-1","TIME","U-138 MG","U-2 OS","U-2197","U-251 MG","U-266/70","U-266/84","U-698","U-87 MG","U-937","WM-115"
"MYOF",233.7,223.5,25.9,15.6,121.6,273.8,70.8,194.2,442.9,127.8,131.2,49.9,179.5,0,84.3,328.1,352.1,2.2,168.6,97.1,1.4,0.9,0,64.8,1.5,51.9,0,0.2,150.5,57.7,92.9,288.4,300.3,0,0.4,272.3,32.5,0,0.5,1.8,202.4,0,18,0.1,269.3,261.5,0.1,0,166.7,24.7,45.4,151.6,3.7,370.5,197.4,14.5,124.4,112,0.1,0.3,0.2,145.1,2.4,238.6
"CDKN1A",22.7,94.4,78.3,1.8,186.6,337.5,139.8,356.3,275.4,47.9,193.6,7.7,21.6,12.7,14.1,206.5,51.6,3.8,333.8,79.8,32.5,19.5,2.6,58.1,89.8,654.9,0.4,108.7,417.7,548.7,469.6,112.9,225.1,4.4,84.2,500.3,42.4,3,6.9,9.9,13.8,48,62.7,21.1,68.3,155.3,41.9,36.4,103.8,6.1,15.6,29.7,72.4,122.9,87.5,87.5,5.6,28.9,149.5,28.5,35.6,112.2,7.5,248.8
"SERPINA1",30.7,0.3,0,0.8,0.7,0,1.4,0.5,1.4,0.6,1.1,155.5,515.9,1.9,15.3,0,1.6,0,8.5,1.1,69.3,0,3.8,1.2,3254.2,0.2,13.2,2,3,4.3,0.3,15.4,0,2.8,0.3,0,0.6,0.9,7.6,2.2,7.5,1.7,16.2,1.6,235.3,2.4,0.7,1.5,6.8,1.2,1.1,258.9,2,1.4,2.6,74.6,1.8,7.4,2.6,1.2,5.1,4.3,32.8,0.5
"TUBA1B",2660.9,3054.5,3549.1,1899.9,624.5,926.4,1870.2,2227.2,2149.4,4670.6,3931.1,3544,2763.6,2447.8,1748.4,2891.7,1648.3,4111.1,2584.8,4441.2,1796.4,1923.6,2190.5,1340,1501.3,211.4,2934.3,1638.2,576.8,389.7,3932.9,999.1,3627,2485.6,1566.6,3449.1,2562.9,3980.3,1856.1,2499.1,3655.8,3623,2927.2,1500.6,1783.7,1598.5,2653.2,2044.6,2342.5,1268.9,616.9,2256.2,2437,1894.5,2360.4,2886.9,2232.3,2843.8,913.4,1303.8,2537,1631.8,2285.3,2270.4
"PMEL",13,1,5.5,0.2,58.3,0.4,122.2,0.8,0.6,1.8,2.6,10.2,5.2,1.8,6.1,0.6,2.2,0.6,0.7,2.1,2.8,2,2.1,1.6,0.5,0.4,0.7,1.2,0.3,0.7,1.2,0.5,0.8,0.4,1.3,0.4,2,0.3,0.6,17.1,0.3,1.5,3.4,1,1.1,2.1,0.7,2.8,0.3,1.8,6730.3,4.2,5.9,1.2,0.8,6.5,0.6,6.8,1.5,7.8,2.2,1,2.2,0.3
"CD151",345.8,428,71.3,234,733.5,293.2,110.9,520.7,327.1,267.8,236.9,208.4,574.4,0.1,223.4,718.2,315.6,71.7,356.6,91.8,139.1,214.4,101.9,97.7,129.9,307.6,72.5,139,282.3,235.4,164.4,280.7,289.8,124.2,40.1,396.7,149,1.4,63.4,47,518.1,19.7,163.9,75.3,478.1,80.4,118.1,122.9,598.5,266.1,90.7,131.5,68.6,483.5,451,221,137.1,291.4,49.4,53.4,3.1,415.6,70.1,257.7
"PLAT",3.9,1.6,32.6,7.8,39.9,55.2,1.2,120.3,203,55.5,49.6,1.7,590.7,0,4.4,14.5,10.3,0.3,23.1,117.7,59,10.2,1,0.9,0.6,239.6,0.2,372.4,58,0.4,145.2,4.4,94,3.9,1,362.2,0,0.5,0.3,43.4,55.5,0.2,116.7,0.3,14.8,0.3,0.5,7.5,0.2,0.6,152.1,1.1,0.2,177.4,11.8,45.9,417.3,12,0.1,0.8,0.2,9,0.2,889.6
"TERT",0.2,1.6,0,0.8,172.7,349.5,4.3,0,161.3,32.7,63.8,0.8,1,4.4,0.5,388.9,0.5,2.1,725.5,40.4,0.5,2.3,0,0.4,1,0.1,2.6,2.1,0.1,18.6,626.8,5.2,1.4,4.9,1.1,238.6,0.6,1.5,9.3,3.6,1.9,7.1,0,5.2,21.7,1.3,0.9,3.4,0.8,0.5,0.3,0.2,1.3,672.9,0,0,0,0.1,1,0.6,0.9,0,1,1.1
"FABP4",0,0,0,0,2538.9,0,0,0.4,0.3,0,0,0,0,0,0.6,0,0,0.1,0.9,0,0.3,0,0,1,0.4,0,0,0,0.5,0.8,0.1,2.1,7.3,0,0,2.5,0,0,0,0,2,0,0,0,0,1531.5,0,0,0,0,0,0,0,0.3,0.2,0.3,0.2,4.3,0,0.1,0.3,0.4,0,0
"IGFBP7",1.1,4.3,1.1,0,92.4,35.3,4.6,585.7,522.8,55.1,18.5,2.3,0.1,0.2,407.8,26,61.3,0.7,79.6,15.2,1.2,5,2.2,54.6,0.3,174.5,13.5,15.6,170.5,40.1,96.8,20.1,115.4,0.4,0.6,119,0,0.4,47,5.9,1.2,12.2,0.3,1.8,516.3,0,1.2,1.9,137.9,7.1,0,1.7,43.4,821.5,59.6,47.8,7.3,94.3,31.4,0.3,0.9,155.6,45.7,1.7
"PLS3",178.5,186.1,174.1,47.8,119.6,113.3,258.8,175.7,189.5,181.6,228.5,185.6,145.4,0.6,552.2,133.6,226.6,194.8,242.8,304.4,2.7,216.5,17.8,170.3,64.7,132.4,0.1,8.5,74.8,115.3,302.9,162.4,357.6,0.5,0.2,157.5,45.2,0.3,1.4,234.3,226,0.3,114.4,3.4,176.9,86.7,0.8,39.1,463,80.5,68.8,56.3,2,385.9,309.5,56,301.3,348.6,5.9,21.3,2.5,134.5,0.6,131.4
"PIM2",15.2,13.4,7.9,14.2,1.9,1.4,11.3,8.8,10.7,13.7,12.8,11,11.3,53.3,4.5,4.1,9.3,25.8,7.1,13.6,526,18,81.3,10,9.4,5.2,17.2,51.6,4.3,6,15.3,7.1,4.6,87.1,485.1,7,9.6,6.7,28.6,164.8,21,9,5.2,478.4,11.2,2.1,6.3,8.2,12.1,6,6.3,18.2,20,2.9,3.5,2.6,2.9,8.7,929,808.4,98.1,13.7,14.9,3.6
"HMGB1",709.3,558,1384.6,976.7,263.8,266.7,531.4,854.7,444.8,891.2,627,812.7,1167.6,1171.5,485.4,715.6,783,1527.2,585.3,1586.3,805.5,569.2,1547.2,299.2,619.1,176.6,1988.3,887.7,184.1,308.1,713.5,504.6,1084.3,1040.8,410.8,713.1,1150.3,2574.8,1691.7,1183.1,633.2,2433.1,1866.1,672,679.6,631.4,1487.2,1210.7,983.9,510.4,405.1,627.7,1247.7,663.2,628.5,963.9,641.1,983.7,391.7,497.2,2408,255.7,1277.5,1349.4
"CXCL1",3.4,4.4,0,0,3.3,9,0,18.8,658.8,17.9,19.9,0.1,12.7,0,1914.4,1.1,36.9,0,2.7,99.6,2.8,0,0,1,0,4,0,0,7.7,1,144.4,8.9,131.2,0,0,0.4,0,0,0.1,0.4,5.3,0,0,0,559,14.5,0.1,0,1.6,0.2,32,0.5,1.3,154,0,7.1,37.2,1.3,0,1.2,2.3,2.1,0.1,28
"COL4A2",81.2,46.7,226.4,0.4,200.4,84.3,347.6,268.1,92.6,171.9,83.8,4.8,0.4,0.2,1032.9,57.7,78.6,0,68.1,34.2,11.3,44.4,0.3,58.3,1.9,180.5,0.3,0.8,39.7,4.1,129.6,67.9,163.3,0.5,0.5,25.8,1.4,0.2,5.4,35.9,16.7,0.4,91.8,0.2,154.6,1.4,8.2,39.6,0.2,1,78.1,0.5,2.8,277.3,99.6,267.9,2.3,144.4,0.3,1.5,3.2,2.5,0.3,470.6
"H1F0",138.9,61.2,203.3,85,36.6,33.9,281.1,107.1,213.2,337.4,499.4,229,217.1,0.1,29.3,82.3,268.4,0,62.4,247.9,0.8,14,240.2,16.6,126.8,156.1,0,0.6,33,110,182.4,156.3,81.5,0.1,0.3,23.7,200.5,36.2,16.7,80.1,305.8,67.8,118.6,38.1,43.4,33.9,55.7,280.1,370.4,176.1,361.5,172.8,112.2,53.2,27,855.8,114,21.4,0.5,13,0.8,32.8,75.2,79.1
"RPLP1",1641.3,1712.7,816,1775.8,794.8,971.8,1709.2,1364.1,772.4,822,683.4,1592.5,1637,1867,2218,662.9,2213.6,1324.6,910.5,186.3,2442.6,3613.8,1977.6,1441.9,1289.5,1696.7,1565.3,1695.6,1276.2,1574.4,645.9,921,903,1884.9,1551.3,528.4,1346.5,1734.2,3654.7,3096.8,1662.4,1995.3,2607.4,2657.5,645.3,1598.3,1552.8,2716.9,1718.3,1482.5,5170.5,1535.8,3011.3,1563.1,1254.4,2969.1,1427.8,2199.5,3344,5250.3,1517.5,1488.5,3881.1,1060.7
"UBE2S",461.1,254.1,238.2,179.4,10.4,15.1,41.4,354.6,102.8,235.8,223.3,158.4,161.5,365.1,159.9,82.4,134.1,251.7,78.4,108.1,372.8,743.8,274.5,107.4,42.4,37.9,293.4,250.5,17.3,21.9,186.8,137.7,84.1,276.2,249.3,134.2,106.9,403.4,120.7,606.4,435.4,398.3,179.7,127.9,51.7,88.9,717.7,349.7,567.7,98.2,187.1,88,133.4,126.9,149.9,449.9,121.5,837.8,211.4,499.5,410.6,155.8,201.5,554.4
"CLIC4",198.1,22.8,216.7,162.5,200.6,442.2,122,507.5,453.7,231.8,291.2,41.3,101.8,105.4,320.8,606.1,70.9,156.2,106.4,601.3,34.8,65.6,50.6,46.1,59.1,342.7,15.4,5.7,213.6,181.8,356.6,274.6,348.5,39.6,99.7,602.1,29,29,17.9,215.3,105.6,81.4,250.4,37.9,193.1,45.9,48.1,111.4,168,50.2,344.2,56,76.8,536,447.6,181.7,189.1,192.7,63.6,85.8,82.2,327.7,123.6,139
"CCDC80",22.8,9.9,126.1,5.4,358,288.4,6.7,303.3,88.1,110.5,167.6,2.4,1.9,0.9,12.8,992.9,29.7,5.5,3.4,120,22.5,1.1,0.7,19.4,0.5,92,0.8,0.5,297.8,10.4,175,8.5,23.2,0.4,0.8,294.2,0.4,0.3,0.4,31.6,3.9,0.3,13.6,0.5,2.5,0.5,0.5,2.6,56.7,1.7,1.5,2,0.7,115.1,340.8,59.7,61.9,131.2,1.2,0.6,0.9,100.2,0.6,56
"PRDX1",816.3,1525.4,671,807.1,516.8,448.3,1399.6,875.5,868.7,1024.1,883.6,697.9,345.8,584.9,1003.8,868.8,833.1,1538.1,718.7,1044.2,589.5,1055.7,557.4,1585.6,1622.4,274.4,576.1,684.5,402.2,530.4,1095.5,197.8,1068.2,1031.7,197.2,923,572,784.9,445.6,2135.5,1616.7,1550.6,829.3,751.7,1499.8,630.4,1059.6,479.8,1008.9,1906.9,52.8,652,389.4,895.7,430.8,1030.6,878.5,1157.1,145.5,798.6,1069.5,706.4,389,258.3
"XAGE1B",2.5,90,0,0,0,0,0.3,0,0,0,0,0,0,0.5,0.3,0,0.6,0,0,0,0.9,0.1,0.4,0.1,0,0,0,528,0,0,0,0,0,111.1,0.5,0,0.2,0.7,387.4,0,0,0.4,0,1.5,0,0,0.3,70,0,1.4,2.2,38.8,397.2,0.4,0,451.2,0.1,69.4,208.9,561.1,0.9,0.2,379.7,0.1
"HLA-B",553,0,0,0.1,9.8,70.6,3.9,0.4,2.2,1,1.7,0,3.9,16.6,516.7,85.9,229,131.1,81.1,0,2.1,27.7,7.4,0.5,0,66.9,0.2,5,145.1,0.3,0,10.5,0.3,1.1,21.8,0,0.2,2.5,104.2,2.5,0.1,17.7,3.4,3,126.8,0.5,1.1,4.7,5.8,1,1.3,91.1,4.5,108.6,32.6,6,4.9,1.9,1064.3,233.9,272.5,2.2,5.1,0.9
"SERPINF1",0.3,3.4,2.7,1.8,752.1,594.5,17.7,45.3,35.7,0.5,0,7.8,0.4,1.6,1.8,49.5,2.8,77.9,3,0,0.6,36.9,0.9,0.5,362.7,306.9,0.8,1,845.8,4.7,0.9,0.8,0.5,99.9,0.3,46.4,0.3,5.6,4.2,29.7,0.9,2.7,199.4,1.1,0,4.9,2.1,40.8,0.8,0.5,42.3,6.2,110.1,1.6,0.5,18,12.4,0.8,0.5,1.6,19.1,1.7,0.7,0.8
"CTSZ",183.8,144.8,0.3,0.1,124,144.4,106.7,285.2,301.2,235.7,218.8,257.5,301.9,82.3,205.4,693.2,144.8,104.3,229.4,166.3,342.9,12.7,94.4,173,0.4,158.5,9.9,308.2,128.6,136.6,110.9,101,339.2,69.4,40.6,143.1,0.3,0.9,72.1,12.8,146.9,2.5,0.9,96.1,140.4,38.9,3.4,2.3,278.6,224.4,1,130.5,119.6,367.7,0.4,177.1,207.9,1.7,203.1,121.7,14.9,3.4,197.4,0.4
"COL12A1",0.2,1.9,11.3,0.2,200.1,113.7,27.4,233.5,186,173.3,250.7,23.4,0.6,0,26.5,1109.7,53.6,0.5,21,169,0.1,1.2,0.2,68.7,0,91.3,0.2,0.2,178,3.6,42.2,39,26.7,0,0,25.6,0.2,0.1,0.1,6.9,14.2,0.2,22.7,0.1,7.5,11.5,0.1,0,894.9,16.4,0.2,124.4,0.3,0.2,78.6,103.3,39.5,77.1,0.1,0,0.3,26.6,0.2,40
"HLA-C",660.6,1,0,0.4,82.4,65.9,1.7,2.6,0.8,1.1,2.2,0.7,0,0.2,748.1,147.8,0.5,0,134.7,0,1.3,155.9,0.8,5.9,0.1,0.6,0.5,0.6,58.5,0.1,0.5,0,0,0.3,0,0,0,6.2,3,0.5,0.7,1.7,0.3,1.5,346,0,1.1,1.6,0.2,0.4,2,0.3,2.4,0.4,193.5,69.4,2.1,2.1,367.3,281.2,195.2,0.4,6.5,0.3
"CD52",1.8,0,0.3,0,0,1,13.8,0.1,0.9,0.1,0,0.2,0.5,505.6,1.3,0,0.1,0,0.2,0,0.5,0.2,31.2,0,1,0,5.9,93.4,0,0,0.2,0,0,21.1,0.7,0,3.6,6.8,40.1,3,0,946.6,1.1,11.2,0,0,2.5,10,0.4,0.8,1,0.3,8.4,1.3,0,2.7,0.7,1,2.2,745.1,783.6,0.2,13.8,0.1
"MT-CO2",5445.2,8905.5,12623.5,11529,17522.8,6843.6,9061.7,6699.8,5181,4099.3,6427.2,8806.6,12023.2,9238.2,6093,9105.7,20362.1,1762.2,11696.7,5727.2,9355.4,8025.8,8334.3,39175.6,14053.7,4656.6,6270.7,8790.9,10498.5,17055.4,2277.3,6210.3,4136.9,7895.9,8782.2,10199.2,10301.7,4656.2,14306.5,3352.1,5724.2,5461.8,3768.8,7546.2,13635.4,13630.4,5606.3,8344.5,6925.5,11893.9,8998.9,10408.7,21228.3,10054,10442.2,9596.6,9401.2,4680.2,4693.8,4596.9,4997.5,5518.8,12285.5,7033.6
"MZB1",0.4,0,0,0,0,0,0.4,0,0,0,0,0,0,224.2,0,0,0.4,0,0,0,169.3,0,0.3,0,0,0,0,1,0,0,0,0.1,0,0.6,505.9,0,0,230.3,1.9,0,0,106.7,0.4,1791.3,0,0,0.7,1,0,11.2,0,3.8,0.1,0.8,0,2.2,0.2,0.1,255.4,14.4,188.2,0.2,0.6,0.2
"MT-CO3",5520.7,6652.2,10896.5,14623,14731.2,6158,5808.2,6784.1,3834.6,2887.8,4623.1,8191.4,8057.9,10019.9,3192.2,5206.5,14919.4,1812.2,6917.3,5273.9,4445.2,7033.6,6701.5,25475.6,11302.4,3634.8,3567.4,8287.7,6183.5,9696.4,3423.4,3880.6,4861.7,5387,9896.3,8653.2,9851.2,3680.6,16474.4,2458.9,4853.5,4418.1,3367.6,7040.9,14669.2,8743.5,5792.2,7237.8,3968.2,3027.5,6094,7952.7,13142.7,7681.6,5086.7,9231.7,9066.3,4396.6,4288.3,2717.8,5367.1,5041.4,11281,3426.6
"TPT1",1659.2,1528.1,2760.3,1703.3,5531.5,7815.6,3196.7,3336.2,4957.8,2294.5,2500.2,3156,4221.6,2872.8,3059.1,3200.6,2850.8,2350,4155.2,3279.4,1734.5,1827.7,2894.8,1023.6,2910.1,6821.5,3522.9,4259,6701.8,8338.7,1576.5,7245.8,4314.5,2176.3,773.8,4248.7,2647.6,4334.9,6666.5,3193.8,1647,3066.4,2563.4,2094,4794.1,3124.6,1396.4,3364.6,1390.1,3099.4,4735.1,2235.3,8580.5,2773.1,1114,1680.9,1725.4,2033,2011.1,2002.3,2605.4,2949.3,2733,886.7
"HSPB6",0.5,0.6,2.1,2.3,1220.3,521.5,1.2,70.2,1.1,4.6,9.1,0.9,0.4,0.5,0.5,196,0.1,0.5,0.5,3.8,0.8,0.5,0.3,0.7,0.3,505.3,0.1,0.8,510.5,0,19.1,0.7,4.5,0.5,0.7,0.2,0.2,0.3,1.2,1.2,0.5,1.4,0.5,0.5,0,0.1,1,0.8,0.1,0.1,0.6,0.3,0.4,0,151.2,0.9,16.2,0.5,0.8,1.9,0.2,20,0.7,0.2
"CLDN4",285.9,3.8,0,1.4,0,0.3,354.2,2.6,0.2,0.3,0.4,139.4,613.4,0.4,24.2,0.1,155.9,0,0.3,0.4,0.6,0.4,0.1,12.8,78.4,0.1,0,0.7,0,1.2,0.1,0.3,0,0.2,0.5,0,279.4,0.5,1.1,0.6,419.8,0.4,6.1,5.3,63.6,247.6,85.9,1.7,0.4,439,0.7,216.2,0.5,0.5,0.8,13.6,2.7,2.6,0.6,0.5,0.4,0.6,0.3,0.5
"MCAM",0.6,4.4,4.7,0.3,14.8,0.2,22.2,2.7,0.3,27.8,13,14.5,0.8,0.9,88.5,8.3,2.8,39.7,5.8,14.6,52.2,12.7,1.1,72.9,13.5,43,0.1,0.4,11.1,0.2,41,14.4,935.6,34.1,1.1,5.1,0,0.9,5.8,19.8,4,0.9,143.1,22.8,20.5,0,14.5,4.1,91.9,1.5,195,4,0.6,901.7,3.1,163.9,0.2,73.1,1.9,1.6,0.3,42.4,0.1,859.1
"EPCAM",382.2,4.3,0.2,0.9,0,0,255.3,0.1,0,0.5,0,461.4,680.1,0.1,109.9,0.7,177.8,4.1,36.4,1.7,0,45.1,0.2,1.5,150.8,0.1,0.2,0.3,0,10.7,0,0,0.6,118.4,0,0.2,170.2,0.4,13.3,137.7,25.7,0.2,0,76.9,246.4,151.3,345.3,2.6,3.7,117.4,0.4,124.7,0.5,0.5,0.3,5.5,1.4,0.7,25,0.3,0.4,0.4,0.1,0.2
"DCBLD2",48.1,357.5,51.7,38.2,46.5,112.2,21.9,103,47,75.7,89.6,27.9,150.8,0,351.7,163.8,44.4,24.9,142.4,180.2,0.7,7.8,17.3,8.4,35,35,7.4,7.6,46.4,21.9,234.4,350.4,45.5,3.6,3.6,647.4,11,6.1,3.5,36.5,125.7,7.4,95.1,3.3,363.9,11.5,16.4,25.8,35.5,5.1,112,24.8,4.9,73.6,205.2,174.6,49.9,357.7,4.8,6.7,5.1,568.7,2.6,91.5
"PLP2",484,309,0.4,1,93.1,281.3,3.6,246.8,187.4,326.5,256.8,104.7,225.5,143.9,66.5,167.1,405.1,276.9,385.1,213.7,474.3,100.1,67.1,329.2,2.5,182.5,111.4,280.2,131.5,376.1,457.8,409.3,225,51.7,177.9,213.7,279.1,12.6,225.9,3.6,440,46.5,300.4,399.9,356.9,314,84.5,132.4,432.5,119.9,194.2,329.7,53.5,248.7,197.8,201.6,330,400.3,80.9,73.3,36.4,464.9,290.6,470.1
"PFN2",484.8,171.4,440.8,170.6,66.9,231.5,115,147,213.3,250.1,302.3,58.9,382.9,0.1,338.2,296.8,5,193,177.3,374.9,16.6,101.9,5.8,69.1,139.8,109.4,24.8,7.7,151.9,148.3,264.7,262.7,132.5,1.4,15.7,235.8,156.6,22.1,1,195.2,230.1,28.3,320.8,1.9,150.4,221.9,284.8,264.4,91.6,30.8,183.8,61.3,3.4,94.5,125.6,186.8,199.2,187.7,21.8,1.6,10.1,269.7,1.6,156.9
"KRT13",2202.2,0.5,0,0,0,0,0.4,0.5,0,0,0,0.5,0.7,5.2,0.6,0,1446.9,0,0.2,0,1.3,0,4,13.6,0,0,1.4,1.1,0,0.6,0,0,0,4.8,0.8,0,1,0.1,0.1,0.1,0.3,0.2,1.2,0.2,0,8.8,0,0,2,1.5,6.8,2.2,4.5,4.1,0,0.4,0,6.1,0.2,4.6,3.6,1.9,3.8,0.2
"TUBB",261.8,98.5,409.7,168.1,78.8,138,3.7,0,0,0,0,172.4,98.1,106.5,166.4,105.8,89.6,349.1,220,0,78.6,196.3,3.5,0,82.3,46.3,326.4,168.9,107.2,50.9,0,2.6,123.4,107.3,0,153.7,165.2,240,1.1,0,117.5,0,4.4,61.2,183.2,133.9,84.8,256.1,169,52.1,2.2,170.8,24.9,75,425.2,200.5,0,1.3,102.1,192.6,236.2,83.4,314.7,550.7
"MYL12A",314.4,203.1,494.8,195.6,396.7,423.2,295.1,676,851.2,692.3,784.2,282.2,389.7,123.8,193.6,906.9,135.5,302.1,360.6,641,228.7,95.6,159.3,178.1,206.1,810.9,403.7,291.2,691.6,503.6,579.7,266.8,988.8,202,421.5,1289.5,469.2,190.7,322.2,206.5,152.8,124.3,253.8,212,1237.9,456.5,82.6,180.7,671,202,435.1,178.4,498.2,1043.5,180.5,435.2,471.7,530.4,101.4,144,192.2,538.2,157.4,661.4
"SLC3A2",146.7,626.7,68.7,201.2,56.6,46.3,617,241.4,88.4,136.5,124.9,551.4,271.8,131.4,291.1,130.9,500.7,132,401.3,75.3,311.4,111.2,118.4,336.4,202.5,638.7,124.2,162.5,105.1,930.9,179.6,416.6,72.5,231.8,283.3,75.8,617,129.7,125.2,116.2,215,150.6,101.1,250.2,77.8,74.1,139,60.6,1423.3,371.2,761.1,167.6,135.9,130.7,146,230.7,204.2,168.8,370.8,403.7,398.9,141.9,189.2,425.4
"ISG15",43.5,6.6,3.8,30.6,3.4,6.9,28.3,28.8,66,1145.6,1200.4,66.5,69.2,31.4,228.3,21.8,27.6,4.1,10.4,18.4,46.1,19.9,18.7,274.9,36.8,38.3,10.5,71.9,15.1,3.4,78.7,1.2,32.4,10.8,17,8.3,182,34.5,137.1,4.1,246.7,67.6,9.3,15.3,12,12,2,1.7,70.4,8.2,314.2,2.4,17.2,18,24.1,24.9,10.6,6.2,23.5,11.8,22.4,23.4,39.5,2.3
"MXRA7",16.7,51.1,81.4,144.3,291.2,270,39.6,223,172.7,175.7,178.2,62.4,2.6,0.4,110.4,285.3,66.6,95.4,104.9,296.6,1.3,84,43.6,28,86.1,217.2,18.1,5.2,175.3,123.7,219.6,137.5,235.3,31.3,0.9,367.6,4.1,2.3,10,26.4,145.3,39.4,311.9,11.3,115,3.8,34,220.5,83.3,0.7,118.4,48.5,19.8,284,417.7,94.4,162.1,232.7,18.7,3.5,0.9,650.2,7.9,61.7
"FKBP10",0.6,107.9,106.4,327.7,253.1,299.5,91.1,411.5,393.3,167,149.6,51.3,4.2,0.2,6.2,413.3,0.8,66.8,93.1,73,31,89.4,43.1,89.1,121.4,337.3,0,0.5,336.1,0.3,147.6,86.1,129,1.6,12.1,126.6,120.3,0.3,0.2,84.2,36.8,9,122.2,10.9,23.5,0.2,31.3,98.8,0.8,258.6,128.4,51.1,2.1,144,212.1,116.9,134.6,62.4,0.6,0.1,0.2,288.2,0,206.9
"GAPDH",5433.2,9713.5,2992.7,4406.3,1981.9,3311,6352.1,3895.1,5289,6135.9,6645.4,6312.7,3643.8,5155.7,837.3,4243.7,3046.4,2934.1,7666.9,4390.9,5915.4,2834.2,3585.6,4494.4,4456.6,3260.7,5188.9,2710,2895.7,2469.2,6501.5,5586.3,6151.1,1955.5,1058.8,6333.3,9457.8,6007.6,2163.4,11227.2,3276,5478.3,5218.7,2393.9,5691.2,5952.4,2516,3636.2,4315.8,7833.7,4808.8,1538.6,3060.3,3785.8,5033,6438.2,2482.1,6678.9,2530.5,1811.1,6368.5,10592.2,3189,8070.9
"XAGE1A",2.5,85.8,0,0,0,0,0.2,0,0,0,0,0,0,0.3,0.3,0,0.6,0,0,0,0.9,0.1,0,0,0,0,0,491.2,0,0,0,0,0,108.6,0.5,0,0,0.2,361,0,0,0.2,0,1.5,0,0,0.2,68,0,0.8,1.2,36.7,391.2,0.4,0,422.6,0.1,67.4,203.2,543,0.8,0.2,364.8,0
"APOD",0,1.6,0.5,0.8,1866.1,1018.4,3.8,20.5,5,0.2,0.2,130.8,0.3,0.3,0.7,1.5,0.6,0.4,6.7,0.3,0.2,1.7,0.3,0.2,0.1,9,0.2,0.3,54.2,12,0.1,10.4,3,0.2,0.3,3.8,0.7,0.1,0.3,0.2,0.3,0.1,0,0,0,1.9,0.7,0.5,0,21.2,19.4,45.5,0,0.4,0.3,1.1,0.3,0.1,0.2,0.2,5.1,1,0.3,301.1
"SERPINB2",1.2,0,0,0.7,0.9,0.4,0.2,142.3,144.3,5.5,12.7,0.7,0.3,0.1,0,4.7,611.4,0,102.4,114.3,0,0,0,0,0.1,0,0.9,0.4,1.1,10,81.4,28.4,0.5,0.5,0.3,2.3,0,0.1,0.2,0.3,1.6,0,0,0.1,0,0,0.3,0,0.7,0.8,0,0.6,10.4,11.3,792.9,0.4,1151.1,0,0.1,0,0,21.1,1.4,94.9
"HIF1A",272.8,110.3,118.5,320.2,127.8,208.6,156.4,214.4,246.6,290.7,271.9,44.2,88.4,54.5,175.4,244.6,63.7,80.9,298.6,374.6,30.9,37.2,41.6,75.1,63.4,348.1,15.8,43.1,380.6,93.6,229.9,187.2,166.3,28.8,0.3,787.3,49.7,49.3,15.3,108.8,147.6,3.9,260.8,15.8,305.5,162.6,118.7,118.6,504.1,50.5,131.7,66.2,24.8,97.4,693.3,164.8,219.7,178.6,30.1,42.6,59,363.5,30.1,192.3
"MYC",56.3,110.3,10.3,99.2,115.6,138.1,30.5,63.3,26.8,86.1,74.2,136.5,143.9,464.8,93.9,35.2,119.9,574.5,174,58.7,143.2,175.7,348.6,137.5,149.4,130.2,219,53.2,101.2,381.7,62,372.2,89.4,522.6,240.3,37.8,140.1,365.3,378.5,29.9,220,215,43.6,799.1,58.6,52,845.5,72.8,37,217.3,152.6,111.3,120.4,107.3,67.8,85.3,49.2,79.1,4.1,6.8,215.6,59.3,237.8,34.7
"SPINK6",0,0,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0.2,0,1.5,0,0,0,0.1,1936.6,1,0,0.5,0,0,10.2,0,0.1,0,0,0,0,0,0,0,0,0.3,0,0.2,0,0,0.5,0,0,1473.3,0,0,0.2,0,0,0.2,0.3,23.3,0.1,0,0,0.5,0.1,0.2,0
"SDC1",220,125,42.4,100.6,8,1.1,130.4,58.1,53.8,58.7,51.7,24.5,131.2,0.2,23.4,38,213.8,19.7,347.3,40.7,1.2,11.5,0,8.7,102.2,8.7,8.8,0.8,4.7,317.1,56.8,102.7,5.8,5.7,68.2,28.5,114.6,0.4,1.6,38.8,245.3,4.8,15.2,131.9,61.2,295.7,14.7,106.1,55.2,257.7,12.3,32.4,1.9,8.7,244.1,83.2,8.6,387.5,356.7,739.8,0.6,72.8,0.4,27.9
