"","A-431","A549","AF22","AN3-CA","ASC diff","ASC TERT1","BEWO","BJ","BJ hTERT+","BJ hTERT+ SV40 Large T+","BJ hTERT+ SV40 Large T+ RasG12V","CACO-2","CAPAN-2","Daudi","EFO-21","fHDF/TERT166","HaCaT","HAP1","HBEC3-KT","HBF TERT88","HDLM-2","HEK 293","HEL","HeLa","Hep G2","HHSteC","HL-60","HMC-1","HSkMC","hTCEpi","hTEC/SVTERT24-B","hTERT-HME1","HUVEC TERT2","K-562","Karpas-707","LHCN-M2","MCF7","MOLT-4","NB-4","NTERA-2","PC-3","REH","RH-30","RPMI-8226","RPTEC TERT1","RT4","SCLC-21H","SH-SY5Y","SiHa","SK-BR-3","SK-MEL-30","T-47d","THP-1","TIME","U-138 MG","U-2 OS","U-2197","U-251 MG","U-266/70","U-266/84","U-698","U-87 MG","U-937","WM-115"
"TRMT112",403.9,603.6,215.7,310.5,140.7,117.3,218.4,172.4,163.8,188,156.4,284.4,388.7,231.9,603.2,132.6,337.4,341.8,266,148.9,378.2,341.1,325.3,400,553.4,191.5,233.2,214.5,146.2,267.5,183,263.8,173.6,277.2,310.7,159.8,942.4,356.2,376.3,608.9,533.6,240.9,235.8,337.4,177.6,380.2,170.8,721.1,299.4,259,482.8,525,186.2,161.6,252.8,339.1,417.6,335.8,271.8,439.1,370.2,342.2,234.7,275.6
"CSE1L",194.6,137.2,179.6,130.4,47.3,62,189.5,145.2,73.5,491.2,216.3,412.7,153.9,162,211,84.9,222.4,278.3,231,483.4,34.6,120.2,141.3,119.2,166.3,35.2,139.2,73.1,36.2,85.7,258.8,114.3,147.7,202.5,62.4,167.3,58.4,170.4,57,153,207.3,121.7,289.5,123,88,121.8,187.6,98.3,290.9,219.3,76.6,230,75.8,93.9,275.1,244.8,154.5,203.7,38.5,91.5,145.7,163.1,109.3,149.7
"PDPN",0.1,0,148.2,0.1,0.3,0,0.1,2,0.1,0,0,0,0.1,0.1,336.7,7,0.6,260.6,32.6,0,0.9,42.4,0.2,0,0,181.4,0,0.2,21.4,60,18.8,16.7,0,0.1,0.1,0,0,0,0,115.9,0.5,0.3,0.2,0,0,3.2,0.2,0.1,0.2,0,0.2,0.1,0.4,199.2,41.3,37.3,0.5,0.1,0.1,0.2,0.6,87.1,0.1,0
"PCBD1",100,241.1,15.5,151,39.6,37.7,20.5,30.8,48.6,51.3,42.6,308.4,173.4,16.7,96.7,31.1,65.9,102.5,41.6,36.3,57.1,164.6,18.5,28.4,252.1,50.9,16.4,63.9,38.3,45,54.7,19.7,125.2,36.6,1.4,32.3,146.1,2,43.5,22.1,228.2,10.2,20.9,52,175.1,92.7,79.9,122,32,151.9,61.5,55.6,26.5,51,9.1,79.6,12.8,74.3,0.7,3.3,0.5,48.8,51.7,14
"FBLN2",0,1.3,50.3,0,262.8,36.1,22.9,105.4,80.2,114,78.2,6.6,0.3,0,5.5,204.8,0.2,0,0.4,22.2,0,0,90.1,1.5,0,21.9,0.1,273.5,161.5,1.4,19.3,0,0,0.7,0.7,0.5,0.2,4.1,0.3,12.1,0.6,0.2,0,0.3,0.7,0.1,3.5,2.5,0.5,67.6,0.1,0.1,0.2,0.1,0.1,0.1,129.1,0,0.1,0,0,1.1,0.1,0.5
"PTBP1",514.8,462.8,286.1,230.8,66.1,85.4,420.9,297.2,143.1,266.5,220.6,411.4,243.7,353.5,208.6,188,302.5,414.3,240,261.4,481.9,407.5,363.8,321.6,341.9,152.2,438.3,365.8,88.8,165.6,357.4,151.2,230.8,563.9,179.7,390.6,398.3,534.5,169.3,503.1,249.8,678.5,210.8,204.2,134.7,452.8,380,390.8,466,181,158.1,241.2,215.2,345.4,305.9,338.1,320,513.6,208.7,373.8,455.7,173.5,310.1,376.8
"UGDH",26.8,475.2,56,68.8,124.1,139.7,45.9,83.9,95.6,89.7,85.4,61.4,99,14,57.4,107.9,27.7,61.3,20.3,97.1,23.5,9.9,19.7,45.4,420.4,59.8,21.4,18.6,48.9,11.1,165.1,39.7,52.2,26.4,11.6,56.2,69.7,21.5,18.8,45.9,35.5,41.2,84.8,13.7,40.2,96.4,33.9,44.8,65.1,26.8,32.8,18.9,15,60.2,97,47.9,343.2,40,27.6,19.6,13.5,81.1,17.7,51.8
"RPL35",1805.3,2874,1733.5,2244.1,1286.7,2765.8,2317.3,1346,2070.4,3020,2141.2,4346.4,1752.1,2201.3,1522.7,1384.2,3448.5,2121,2499.3,1145.5,1758.7,3269.1,1119.5,2860.1,2330.5,2801.3,2224.9,1404.1,2661.4,3853.9,1925.4,2609.2,2022.6,2429.4,2720.8,2056.6,5136,2661.1,4040.9,3298.4,3569.6,2548.1,2615.5,4764.9,2113.9,1924.6,2786.2,2033,1532.8,2532.9,2533.3,3233,3066.8,1020.6,1417.7,1587.9,2345.1,2710.1,1614.2,3703.1,3144.1,1973.4,2274.6,2440.6
"CCT5",303.3,436.7,396.3,427.2,171.6,131.6,546.4,380.3,233,650.5,476.7,536.9,325.6,382.3,460.7,250,292.4,782.8,350.9,745.4,465.3,479.6,392.3,751.7,345.1,245.9,527.3,266.2,160.1,216.3,550.6,280.4,350.5,531.2,134.8,376.2,373,382.8,415.6,428.1,535,397.9,293.4,191.1,334.3,283.7,357,354.7,1003.2,316.2,254.7,306.1,328.5,231.4,564.7,537.7,198,563.3,146.1,225,394,314.6,746.2,462.5
"COX6A1",430.5,936.3,568.1,560,297,256.6,678.1,258.8,329.8,494.7,438.8,1040.4,429.8,736.3,840.5,337.2,708.9,583.6,481.6,331.6,576.6,1118.5,496.3,393.4,632.4,335.1,486.9,335.1,322.7,586.4,486.8,439.1,379.6,493.6,224.7,373.3,1053.5,713,976.2,525.4,1386.5,546.9,372.5,671.7,636.5,930.1,888.9,695.4,595.7,407.2,565.3,916.5,464.6,282,324.4,424.5,319.1,357.1,367.1,496.9,546.4,505,463.3,442.9
"STARD10",44.4,13.9,7.7,26.7,6.7,6.7,94.9,4.6,21.1,16.3,16.7,174.6,32.3,3.2,15.7,14.8,28.2,24.1,33.6,19.6,26.3,8.3,5.4,7.2,148,29.5,1.2,8.1,4.9,91.8,19.2,20.6,14.9,10.7,15.5,3.2,474.1,3.8,7,3.4,18.9,4.2,12.9,2.3,17.9,49.1,15.5,10.5,9.2,320.8,48.6,221.7,4.2,10.8,17,12.1,5.8,8.3,16.3,13.3,5.1,4.2,4.5,5.8
"TMPO",157.6,105.5,278,133.4,15.8,21.4,160.7,122.5,62,179.2,135,105.8,77.5,223.6,81.9,65.7,99.8,245.7,78.1,169.4,204.7,135.6,240.6,71.2,58.2,17.6,248.7,151,12.6,25.4,113.7,46.7,92.9,205.8,84.7,100.9,86.5,411.8,155.3,169.4,100.3,387.9,180.6,150.9,51.8,132.1,260.9,140.5,262.9,115.1,61.4,163.2,99.8,49.1,109.2,101.3,71.2,124.1,96.9,162.6,239.6,31.2,139.8,148.3
"PDGFRA",0.1,0,1.2,0.8,306.3,145.3,0.9,20.8,217.9,0,0.6,54.3,0.4,0.4,0.7,147.1,0.6,19.2,0.1,0.2,2.4,0.9,0.8,0.5,0.8,126.5,0.4,0.4,276,0,30.3,0,0,0.6,0.6,0.9,0.2,0.4,0.8,3.4,0.9,0.6,0.1,0.1,0,1.7,0.7,39.2,0,0.4,0.1,0.9,0,0.6,81.7,3.2,85.3,0.2,0.3,0.1,0.6,2.5,0.1,2.2
"RPL37A",1841.4,1609.3,3712.7,2359.4,2636.8,4713.8,2691.7,2372.3,3035.1,2607.3,2316.1,3739.5,1761.1,1656.6,3622.2,2692.3,1911.2,3703.2,2968.9,2784,2458.7,3498.1,3403.3,2137,4374.1,5507,3341.7,2011.6,5333.8,6166.7,2430.1,5234.5,3275.8,2683.9,2370.4,3060.4,3256.5,3219.3,5449.1,4361.5,1852.9,2620.8,2728.8,1962.2,2961.7,2922,2861.9,2892.8,1099.4,2401.1,5019.3,1907.5,4830.2,2164,1984.4,2294.5,1853.4,2573.1,2650.6,3674,3026.3,2196.3,2274.4,2057.3
"PAICS",207.7,158.1,349.1,204.1,50.9,116.5,293,170.1,117.7,262.8,268.9,231.2,242,390.8,215,105.2,126.8,581.2,209.7,464.8,102.2,181.8,267,178.7,212.7,118.9,424.6,112.1,103,150.2,300.8,172.9,196.1,467.3,142.3,205.5,121.2,495.2,168.6,405.9,200.5,451.2,146.5,250.7,203.2,130.8,445.1,239.9,210,204.4,95.7,169.8,113.8,103.8,219.3,303.2,205.7,344.4,106,89.4,394,229.2,301.9,246.9
"LAMA3",108,14,0.1,0.1,4.3,0.9,0.3,2.2,1.4,1.2,1.6,4.4,122.4,0.1,14.9,1.1,195.1,0.2,770.3,0.8,0.2,7.9,0,3,1.7,1,0,0.5,0.9,85.3,0.8,95.1,4.2,0,0.1,1.2,0.3,0.1,0.1,1.4,13.1,2.1,0.1,0.1,35.3,11.2,0.7,2.5,5.3,1.5,0.4,3.9,1.1,9.5,0.8,1,6.1,0.5,0.1,0.1,0.4,2.8,0.1,0.4
"RPL31",1855.5,1117.6,2134.7,3111,2805.4,3922.7,3885.2,2846.2,2132.3,1901.6,1586.9,3208.3,2149.7,3898.1,2410.1,1672.7,2032.7,2161.5,2433.7,2076.1,1797.1,3040,2890,2379.6,3072.2,2686.8,4555.4,2209.7,3332,3810.7,1805.6,3175.6,1969.1,2741.3,900.8,1990.1,2170.7,3417,4543.4,4049.5,1348.9,2157.3,3171.6,3064.2,2412.6,2675.4,3140.3,3092.9,1515.6,3668.7,4645.7,2228.7,5179.8,2938.9,1646.5,3097.9,1829,2197.8,1999.4,2642.2,2473.5,2261.2,4178.7,1630
