gene,1,2,3,4,5,6,7,8
ACOT12,2,6,10,9,2,11,16,1
ACOT13,742,878,803,979,939,958,1033,966
ACOT2,1189,1014,1245,1406,937,954,1067,1442
ACOT4,145,155,160,184,154,159,193,190
ACOT6,0,1,0,0,0,0,4,0
ACOT7,706,797,577,742,483,760,488,853
ACOT8,929,657,765,975,754,649,634,845
ACOT9,2183,2572,2350,2990,1709,2313,1325,1857
ACOX1,1939,2274,1722,2320,2121,2199,1885,1941
ACOX2,4,1,0,0,0,1,5,0
ACOX3,781,655,749,1088,713,563,747,1141
ACOXL,0,4,4,0,10,1,9,1
ACP1,5519,5785,6213,6802,5884,6800,5774,6196
ACP2,1421,1367,972,1275,990,1071,919,1129
ACP5,3150,3822,1901,2856,1748,2272,1689,3013
ACP6,1031,859,894,1030,999,778,966,1061
ACPL2,1323,1006,785,993,1574,1499,1319,1192
ACPP,23,9,4,3,0,1,9,7
ACPT,65,49,60,57,49,54,94,86
ACR,0,0,0,5,0,0,2,8
ACRBP,313,191,220,271,322,180,301,317
ACRC,705,759,441,463,827,728,755,797
ACRV1,0,3,0,6,0,0,0,8
ACSBG1,43,3,22,28,12,34,37,17
ACSBG2,72,19,5,20,14,27,18,47
ACSF2,867,708,625,742,856,794,576,847
ACSF3,2811,2601,2499,2675,2383,2379,2451,3319
ACSL1,1095,1218,878,1016,1105,1346,816,921
ACSL3,1587,2089,1382,2167,1614,1797,2100,1786
ACSL4,2079,2492,2147,3185,2308,3106,2462,2827
ACSL5,7598,7815,6752,8339,7263,7709,6431,6996
ACSL6,3474,3539,2964,4013,3370,3933,4429,3815
ACSM1,50,32,47,51,38,20,37,83
ACSM2A,0,0,0,0,0,0,0,0
ACSM2B,0,0,0,1,0,0,0,0
ACSM3,588,438,466,446,510,330,411,398
ACSM4,0,0,0,0,0,0,0,0
ACSM5,0,0,0,0,0,0,0,0
ACSS1,8200,8336,7927,9249,8155,7976,7795,10910
ACSS2,2590,1636,1868,1919,1757,1459,1826,1814
ACSS3,0,0,0,0,0,0,0,0
ACTA1,19,14,5,14,44,31,16,30
ACTA2,476,453,580,663,528,529,298,313
ACTB,205749,240096,216022,287711,197119,255761,156357,237718
ACTBL2,0,0,0,0,0,0,0,0
ACTC1,4,0,0,0,0,0,1,0
ACTG1,100223,115935,120605,158963,107571,127751,73146,120099
ACTG1P4,46,85,103,85,69,78,97,82
ACTG2,0,21,0,5,6,13,1,4
ACTL10,82,84,40,69,74,54,64,89
ACTL6A,1993,2034,1558,2302,1922,1891,1960,2056
ACTL6B,0,0,0,1,0,8,0,3
ACTL7A,15,0,1,6,0,0,5,1
ACTL7B,0,6,0,7,4,5,14,11
ACTL8,0,0,0,0,0,0,0,0
ACTL9,0,0,0,0,0,0,0,0
ACTN1,12057,9858,8340,9620,8581,8051,11911,14911
ACTN1-AS1,12,41,8,11,67,15,22,60
ACTN2,0,0,0,6,0,1,1,0
ACTN3,8,52,7,33,21,38,9,23
ACTN4,15104,14956,15039,18530,15576,16528,9583,16944
ACTR10,2389,2439,2395,2934,2248,2515,2342,2595
ACTR1A,4089,4115,3964,4903,3918,4049,2935,4699
ACTR1B,10053,9134,9665,10811,10469,9786,7621,9958
ACTR2,24660,33310,26086,34232,25961,38391,25027,29655
ACTR3,13175,16338,16005,21769,14353,18255,14357,19024
ACTR3B,417,474,579,659,464,406,446,551
ACTR3BP2,0,0,0,0,0,0,2,0
ACTR3BP5,0,0,0,1,0,0,2,1
ACTR3C,124,161,122,182,125,85,144,136
ACTR5,1958,1882,1662,2354,1763,1701,1941,2526
ACTR6,855,1462,1056,1496,1161,1607,1583,1112
ACTR8,1714,1612,1708,2494,1707,1595,1324,1536
ACTRT1,0,0,0,0,0,0,0,0
ACTRT2,0,0,0,0,0,0,0,0
ACTRT3,8,12,11,7,1,9,3,8
ACVR1,2525,2660,2747,3441,2502,3375,2588,2937
ACVR1B,1652,1222,1177,1438,1414,1118,1489,1358
ACVR1C,1418,969,1407,1330,1168,1124,1695,1146
ACVR2A,1196,1389,1493,1835,1749,2346,2162,1830
ACVR2B,1946,2291,1416,1677,1450,1588,2294,1962
ACVR2B-AS1,117,87,47,57,19,38,38,45
ACVRL1,0,0,0,0,0,0,0,0
ACY1,35,19,32,21,12,11,21,17
ACY3,73,75,46,34,40,21,24,27
ACYP1,498,741,760,833,641,850,714,767
ACYP2,354,425,378,531,459,528,437,371
ADA,3727,3699,2503,3550,2418,3222,2649,5001
ADAD1,0,0,0,0,0,2,0,0
ADAD2,22,16,16,22,23,20,23,22
ADAL,431,382,434,565,525,471,523,674
ADAM10,7085,8059,6062,7444,6243,6601,7712,7956
ADAM11,131,157,196,96,209,101,108,159
ADAM12,160,104,72,78,296,237,145,187
ADAM15,2861,2771,2507,2821,2423,2802,1883,2758
ADAM17,3022,3333,2364,3279,2981,3234,2880,2801
ADAM18,0,0,0,0,0,0,0,0
ADAM19,9410,12129,13167,19924,11094,14375,7873,12566
ADAM1A,1179,1093,1006,1296,1258,1261,1449,1342
ADAM2,0,0,0,0,0,0,0,0
ADAM20,6,31,12,9,15,12,8,0
ADAM20P1,35,43,60,45,63,66,88,43
ADAM21,0,0,0,20,9,0,12,2
ADAM21P1,0,0,0,2,8,0,0,0
ADAM22,371,255,322,212,365,416,432,378
ADAM23,1364,802,453,278,1165,676,438,428
ADAM28,2,17,0,13,18,5,17,5
ADAM29,0,13,1,6,14,2,16,2
ADAM30,0,0,0,0,0,0,0,0
ADAM32,0,0,7,0,0,0,0,0
ADAM33,0,0,0,3,0,0,0,0
ADAM3A,0,0,0,0,0,0,0,0
ADAM5,0,0,0,0,0,0,0,0
ADAM6,0,0,0,0,0,0,0,0
ADAM7,0,0,0,0,0,0,0,0
ADAM8,14474,12734,12217,13429,12499,13631,9801,12810
ADAM9,187,334,160,190,219,305,112,166
ADAMDEC1,0,0,0,0,0,3,0,0
ADAMTS1,21,24,18,63,1,3,15,25
ADAMTS10,5004,3235,2517,2571,3152,3015,4060,3939
ADAMTS12,0,0,0,0,4,5,0,0
ADAMTS13,354,284,229,252,186,202,190,433
ADAMTS14,0,0,0,1,0,0,0,0
ADAMTS15,0,0,0,1,14,8,2,0
ADAMTS16,36,4,4,14,18,15,17,5
ADAMTS17,1155,704,875,837,753,526,659,720
ADAMTS18,0,0,0,0,0,0,0,1
ADAMTS19,0,0,0,0,0,0,0,0
ADAMTS2,0,6,0,7,23,8,1,1
ADAMTS20,0,0,0,0,4,0,0,0
ADAMTS3,0,0,0,0,0,0,0,0
ADAMTS4,77,144,127,119,159,193,253,216
ADAMTS5,0,0,0,0,1,0,0,0
ADAMTS6,269,216,268,254,324,321,150,93
ADAMTS7,4,33,17,14,16,20,17,50
ADAMTS8,11,2,10,5,9,18,6,31
ADAMTS9,0,0,0,0,0,0,0,0
ADAMTS9-AS2,0,0,0,0,0,0,0,0
ADAMTSL1,0,0,0,0,0,0,0,0
ADAMTSL2,243,167,89,103,175,85,48,58
ADAMTSL3,8,1,0,0,12,5,0,2
ADAMTSL4,354,350,145,252,337,278,191,291
ADAMTSL5,507,376,1032,993,1015,923,1084,1101
ADAP1,1625,1361,1110,987,862,833,638,806
ADAP2,37,52,8,22,4,1,26,28
ADAR,43496,42177,36849,49028,38356,33722,33504,45072
ADARB1,8008,6738,6445,7876,8226,7620,6798,8357
ADARB2,370,525,3,1,263,360,4,0
ADARB2-AS1,0,0,0,0,0,0,0,0
ADAT1,2832,3357,1989,2628,2481,2312,3049,3317
ADAT2,2014,2233,1656,2715,1896,2834,2185,2718
ADAT3,251,122,137,163,88,210,68,201
ADC,493,231,349,286,554,306,316,289
ADCK1,709,445,488,495,568,562,394,614
ADCK2,2570,2155,1965,2282,2100,1885,1338,1838
ADCK3,6796,6657,5632,6688,5202,6051,5854,6774
ADCK4,2791,2225,2201,2827,2392,2264,2140,2473
ADCK5,1278,1146,1089,1323,1311,1119,1234,1416
ADCY1,17,24,17,16,11,17,2,15
ADCY10,7,6,2,6,21,11,4,12
ADCY10P1,2271,2062,1546,1733,1986,1660,2902,2376
ADCY2,0,0,0,0,0,0,0,0
ADCY3,3322,3188,3282,3771,3397,3139,2985,4333
ADCY4,468,542,330,501,453,449,263,417
ADCY5,56,59,63,27,58,23,32,30
ADCY6,0,6,0,1,6,5,4,0
ADCY7,25788,24831,22464,26840,28711,28908,25975,34468
ADCY8,0,0,0,0,0,0,0,0
ADCY9,2849,1957,2048,2141,1945,1638,1441,1524
ADCYAP1,0,0,0,0,0,0,0,0
ADCYAP1R1,0,2,0,0,0,0,0,0
ADD1,30644,26422,28579,31908,25876,24060,22772,28973
ADD2,438,227,499,398,198,166,420,650
ADD3,43919,47243,37775,49366,42306,47923,48876,50622
ADGB,0,0,0,0,0,0,0,0
ADH1A,0,0,0,4,0,0,0,1
ADH1B,0,0,0,0,0,0,0,0
ADH1C,0,0,0,0,0,0,0,0
ADH4,0,0,0,0,0,0,0,4
ADH5,3719,4123,3922,5198,3498,3698,3884,4230
ADH6,36,54,41,76,21,34,30,42
ADH7,0,0,0,0,0,0,0,0
ADHFE1,3053,2982,1970,2532,1734,2111,1712,2157
ADI1,3466,3427,3390,4412,3670,4155,3435,4034
ADIG,2,0,0,3,0,0,1,0
ADIPOQ,0,0,0,0,0,0,0,0
ADIPOQ-AS1,0,0,0,0,0,0,0,0
ADIPOR1,6162,5316,5323,6676,5459,6209,4680,5917
ADIPOR2,4055,4075,3658,4165,3827,3374,3213,3948
ADIRF,114,92,67,74,81,73,145,71
ADK,1235,1608,1608,2103,1500,1927,1336,1504
ADM,40,6,17,6,15,33,4,6
ADM2,248,148,238,211,208,178,154,166
ADM5,495,494,440,517,507,614,596,845
ADNP,7879,7604,6275,7647,7374,6392,7302,8115
ADNP2,4879,4866,4285,5453,4160,4527,3890,4265
ADO,1692,1837,1726,2237,1290,2003,1919,1750
ADORA1,0,0,0,0,0,0,0,0
ADORA2A,1959,1778,1634,2079,2198,1583,1551,2078
ADORA2A-AS1,105,111,52,111,84,140,102,114
ADORA2B,0,11,82,74,0,3,81,38
ADORA3,2,0,0,5,9,2,5,0
ADPGK,8275,7998,6343,8595,7409,7543,6751,7824
ADPGK-AS1,40,49,56,53,50,81,43,50
ADPRH,65,132,196,124,109,77,76,105
ADPRHL1,24,21,32,65,31,27,42,29
ADPRHL2,2652,2394,2165,2617,1629,2179,1879,2386
ADPRM,2659,2675,2461,3009,2383,2627,3157,2644
ADRA1A,3,1,0,1,9,1,0,0
ADRA1B,0,0,0,0,0,0,0,0
ADRA1D,0,0,0,0,0,0,0,0
ADRA2A,14,0,0,0,8,7,4,3
ADRA2B,41,22,23,35,17,11,23,17
ADRA2C,0,0,0,0,0,0,0,0
ADRB1,10,9,8,8,0,7,0,1
ADRB2,487,464,315,292,361,297,250,185
ADRB3,0,0,0,0,0,0,0,0
ADRBK1,56274,50992,48517,59787,47721,52000,42107,58722
ADRBK2,251,398,241,358,344,407,361,540
ADRM1,4016,4508,4430,4766,3634,3957,3162,5109
ADSL,6997,6406,6534,8365,6886,7393,5564,7847
ADSS,3299,5054,4124,5317,4183,4977,4534,4750
ADSSL1,258,188,183,166,210,143,199,176
ADTRP,2401,2412,2927,2623,1813,1953,1961,2202
AEBP1,2771,1800,2181,1874,2209,1796,2129,2629
AEBP2,3312,3830,3661,4942,3573,5004,4342,4264
AEN,6367,4997,4311,5601,5142,4546,4625,4278
AES,97205,86413,89113,100033,75874,89716,71307,93765
AFAP1,5115,3859,4854,5411,4697,3925,3466,4555
AFAP1-AS1,30,17,38,55,55,36,30,56
AFAP1L1,7,0,10,0,10,0,25,18
AFAP1L2,202,236,196,189,184,188,235,258
